partition,fold,pair,rank_b,rank_c,rank_diff,abs_rank_diff,oracle_kl,spearman_rho_fold
1,0,"{33, 57}",154,159,5,5,0.0028400314040482044,0.75340446659787
1,0,"{33, 58}",223,217,-6,6,0.003762229112908244,0.75340446659787
1,0,"{33, 62}",102,139,37,37,0.0021897912956774235,0.75340446659787
1,0,"{34, 38}",48,28,-20,20,0.0015933685936033726,0.75340446659787
1,0,"{34, 39}",47,20,-27,27,0.0016127050621435046,0.75340446659787
1,0,"{41, 34}",144,102,-42,42,0.00226153084076941,0.75340446659787
1,0,"{34, 47}",52,37,-15,15,0.0016899900510907173,0.75340446659787
1,0,"{49, 34}",9,44,35,35,0.0023498975206166506,0.75340446659787
1,0,"{34, 50}",105,86,-19,19,0.0020078083034604788,0.75340446659787
1,0,"{34, 55}",179,171,-8,8,0.0025327210314571857,0.75340446659787
1,0,"{57, 34}",70,67,-3,3,0.0023895101621747017,0.75340446659787
1,0,"{34, 58}",201,196,-5,5,0.0033727865666151047,0.75340446659787
1,0,"{34, 62}",72,103,31,31,0.0018840546254068613,0.75340446659787
1,0,"{38, 39}",0,11,11,11,0.0008497750968672335,0.75340446659787
1,0,"{41, 38}",108,12,-96,96,0.0015593643765896559,0.75340446659787
1,0,"{38, 47}",15,22,7,7,0.0009289902518503368,0.75340446659787
1,0,"{49, 38}",58,187,129,129,0.0016669160686433315,0.75340446659787
1,0,"{50, 38}",24,1,-23,23,0.0012673323508352041,0.75340446659787
1,0,"{38, 55}",156,95,-61,61,0.0019071418792009354,0.75340446659787
1,0,"{57, 38}",45,17,-28,28,0.0018169321119785309,0.75340446659787
1,0,"{58, 38}",150,130,-20,20,0.0026829910930246115,0.75340446659787
1,0,"{62, 38}",34,88,54,54,0.001153952325694263,0.75340446659787
1,0,"{41, 39}",124,52,-72,72,0.001577364862896502,0.75340446659787
1,0,"{47, 39}",18,14,-4,4,0.0008868148433975875,0.75340446659787
1,0,"{49, 39}",60,63,3,3,0.0017458576476201415,0.75340446659787
1,0,"{50, 39}",23,6,-17,17,0.0013181936228647828,0.75340446659787
1,0,"{55, 39}",164,113,-51,51,0.00196556793525815,0.75340446659787
1,0,"{57, 39}",42,31,-11,11,0.0018421707209199667,0.75340446659787
1,0,"{58, 39}",139,123,-16,16,0.002633337862789631,0.75340446659787
1,0,"{62, 39}",37,23,-14,14,0.001192212919704616,0.75340446659787
1,0,"{41, 47}",85,19,-66,66,0.0016348965000361204,0.75340446659787
1,0,"{41, 49}",133,168,35,35,0.002372751710936427,0.75340446659787
1,0,"{41, 50}",146,118,-28,28,0.001996563281863928,0.75340446659787
1,0,"{41, 55}",12,89,77,77,0.002593311946839094,0.75340446659787
1,0,"{41, 57}",196,164,-32,32,0.0024701959919184446,0.75340446659787
1,0,"{41, 58}",226,216,-10,10,0.0033361336681991816,0.75340446659787
1,0,"{41, 62}",79,108,29,29,0.0018509132787585258,0.75340446659787
1,0,"{49, 47}",56,51,-5,5,0.0017882233951240778,0.75340446659787
1,0,"{50, 47}",33,4,-29,29,0.0013651491608470678,0.75340446659787
1,0,"{55, 47}",132,107,-25,25,0.002000589855015278,0.75340446659787
1,0,"{57, 47}",82,10,-72,72,0.0018819412216544151,0.75340446659787
1,0,"{58, 47}",180,165,-15,15,0.002736705122515559,0.75340446659787
1,0,"{62, 47}",11,26,15,15,0.0012750012101605535,0.75340446659787
1,0,"{49, 50}",121,92,-29,29,0.002042233245447278,0.75340446659787
1,0,"{49, 55}",168,141,-27,27,0.0025488233659416437,0.75340446659787
1,0,"{49, 57}",103,55,-48,48,0.002467942191287875,0.75340446659787
1,0,"{49, 58}",215,220,5,5,0.003392544575035572,0.75340446659787
1,0,"{49, 62}",67,73,6,6,0.001932838000357151,0.75340446659787
1,0,"{50, 55}",177,146,-31,31,0.002274356782436371,0.75340446659787
1,0,"{57, 50}",63,70,7,7,0.0021653962321579456,0.75340446659787
1,0,"{50, 58}",122,115,-7,7,0.003037193790078163,0.75340446659787
1,0,"{50, 62}",41,230,189,189,0.0015703613171353936,0.75340446659787
1,0,"{57, 55}",216,205,-11,11,0.002632013987749815,0.75340446659787
1,0,"{58, 55}",228,226,-2,2,0.003627679543569684,0.75340446659787
1,0,"{62, 55}",119,128,9,9,0.0021496452391147614,0.75340446659787
1,0,"{57, 58}",90,129,39,39,0.003538731252774596,0.75340446659787
1,0,"{57, 62}",117,127,10,10,0.002061808481812477,0.75340446659787
1,0,"{58, 62}",193,198,5,5,0.002927604829892516,0.75340446659787
1,1,"{1, 2}",119,112,-7,7,0.001971630845218897,0.8611241589540416
1,1,"{1, 3}",33,50,17,17,0.001123306923545897,0.8611241589540416
1,1,"{16, 1}",85,73,-12,12,0.0014047524891793728,0.8611241589540416
1,1,"{1, 30}",136,136,0,0,0.0025041657499969006,0.8611241589540416
1,1,"{1, 31}",73,57,-16,16,0.0014134278753772378,0.8611241589540416
1,1,"{32, 1}",99,54,-45,45,0.0015927089843899012,0.8611241589540416
1,1,"{1, 35}",106,92,-14,14,0.00160225632134825,0.8611241589540416
1,1,"{1, 36}",88,67,-21,21,0.001519428682513535,0.8611241589540416
1,1,"{40, 1}",92,62,-30,30,0.001823193859308958,0.8611241589540416
1,1,"{1, 42}",74,63,-11,11,0.0012384317815303802,0.8611241589540416
1,1,"{1, 43}",64,45,-19,19,0.0011808461276814342,0.8611241589540416
1,1,"{1, 45}",117,185,68,68,0.002959875389933586,0.8611241589540416
1,1,"{1, 46}",68,66,-2,2,0.0012439214624464512,0.8611241589540416
1,1,"{48, 1}",155,151,-4,4,0.0030135030392557383,0.8611241589540416
1,1,"{1, 51}",51,84,33,33,0.001506298896856606,0.8611241589540416
1,1,"{1, 52}",181,175,-6,6,0.0029812713619321585,0.8611241589540416
1,1,"{1, 53}",103,97,-6,6,0.0019003330962732434,0.8611241589540416
1,1,"{1, 54}",10,56,46,46,0.001299691037274897,0.8611241589540416
1,1,"{1, 61}",201,206,5,5,0.0045524584129452705,0.8611241589540416
1,1,"{1, 63}",122,114,-8,8,0.002209868049249053,0.8611241589540416
1,1,"{2, 3}",107,165,58,58,0.001626228098757565,0.8611241589540416
1,1,"{16, 2}",77,106,29,29,0.001916408073157072,0.8611241589540416
1,1,"{2, 30}",180,183,3,3,0.0030997712165117264,0.8611241589540416
1,1,"{2, 31}",95,87,-8,8,0.0018782123224809766,0.8611241589540416
1,1,"{32, 2}",79,101,22,22,0.0021961054299026728,0.8611241589540416
1,1,"{2, 35}",61,96,35,35,0.002137690084055066,0.8611241589540416
1,1,"{2, 36}",78,75,-3,3,0.0020190533250570297,0.8611241589540416
1,1,"{40, 2}",105,72,-33,33,0.0022749165073037148,0.8611241589540416
1,1,"{2, 42}",91,94,3,3,0.0017415941692888737,0.8611241589540416
1,1,"{2, 43}",101,55,-46,46,0.0016581923700869083,0.8611241589540416
1,1,"{2, 45}",193,191,-2,2,0.0034461673349142075,0.8611241589540416
1,1,"{2, 46}",97,61,-36,36,0.0017332598799839616,0.8611241589540416
1,1,"{48, 2}",192,209,17,17,0.0036287002731114626,0.8611241589540416
1,1,"{2, 51}",108,98,-10,10,0.0020493443589657545,0.8611241589540416
1,1,"{2, 52}",185,184,-1,1,0.0035416441969573498,0.8611241589540416
1,1,"{2, 53}",104,89,-15,15,0.002333630109205842,0.8611241589540416
1,1,"{2, 54}",109,152,43,43,0.0017973474459722638,0.8611241589540416
1,1,"{2, 61}",208,207,-1,1,0.005252599250525236,0.8611241589540416
1,1,"{2, 63}",152,160,8,8,0.002722272416576743,0.8611241589540416
1,1,"{16, 3}",60,64,4,4,0.0009878674754872918,0.8611241589540416
1,1,"{3, 30}",125,146,21,21,0.0022902963683009148,0.8611241589540416
1,1,"{3, 31}",42,0,-42,42,0.0010123108513653278,0.8611241589540416
1,1,"{32, 3}",76,46,-30,30,0.0012726433342322707,0.8611241589540416
1,1,"{35, 3}",86,24,-62,62,0.0013045071391388774,0.8611241589540416
1,1,"{3, 36}",65,7,-58,58,0.0011441868264228106,0.8611241589540416
1,1,"{40, 3}",82,8,-74,74,0.0014653296675533056,0.8611241589540416
1,1,"{42, 3}",26,9,-17,17,0.0007646007579751313,0.8611241589540416
1,1,"{43, 3}",14,28,14,14,0.0007140651578083634,0.8611241589540416
1,1,"{3, 45}",128,120,-8,8,0.002591981552541256,0.8611241589540416
1,1,"{3, 46}",21,21,0,0,0.0007970177684910595,0.8611241589540416
1,1,"{48, 3}",146,133,-13,13,0.002757687121629715,0.8611241589540416
1,1,"{51, 3}",40,47,7,7,0.0011392515152692795,0.8611241589540416
1,1,"{3, 52}",154,142,-12,12,0.002740289317443967,0.8611241589540416
1,1,"{3, 53}",93,58,-35,35,0.0015617855824530125,0.8611241589540416
1,1,"{3, 54}",7,32,25,25,0.000869774492457509,0.8611241589540416
1,1,"{3, 61}",195,193,-2,2,0.004436778370290995,0.8611241589540416
1,1,"{3, 63}",111,34,-77,77,0.0018812150228768587,0.8611241589540416
1,1,"{16, 30}",145,124,-21,21,0.002577060367912054,0.8611241589540416
1,1,"{16, 31}",4,90,86,86,0.0013069340493530035,0.8611241589540416
1,1,"{16, 32}",9,81,72,72,0.0014537581009790301,0.8611241589540416
1,1,"{16, 35}",35,69,34,34,0.0015748910373076797,0.8611241589540416
1,1,"{16, 36}",0,80,80,80,0.0014453872572630644,0.8611241589540416
1,1,"{16, 40}",39,93,54,54,0.0017486934084445238,0.8611241589540416
1,1,"{16, 42}",38,65,27,27,0.0011295160511508584,0.8611241589540416
1,1,"{16, 43}",15,111,96,96,0.0010696777608245611,0.8611241589540416
1,1,"{16, 45}",159,159,0,0,0.002714284462854266,0.8611241589540416
1,1,"{16, 46}",8,44,36,36,0.0011524565052241087,0.8611241589540416
1,1,"{16, 48}",179,166,-13,13,0.0030242358334362507,0.8611241589540416
1,1,"{16, 51}",41,70,29,29,0.0014123315922915936,0.8611241589540416
1,1,"{16, 52}",171,195,24,24,0.002936661010608077,0.8611241589540416
1,1,"{16, 53}",57,77,20,20,0.0018420197302475572,0.8611241589540416
1,1,"{16, 54}",67,91,24,24,0.001104490365833044,0.8611241589540416
1,1,"{16, 61}",203,199,-4,4,0.004405416548252106,0.8611241589540416
1,1,"{16, 63}",127,129,2,2,0.002162313088774681,0.8611241589540416
1,1,"{30, 31}",142,123,-19,19,0.0024953316897153854,0.8611241589540416
1,1,"{32, 30}",162,147,-15,15,0.0029340574983507395,0.8611241589540416
1,1,"{35, 30}",149,140,-9,9,0.0026186187751591206,0.8611241589540416
1,1,"{36, 30}",153,144,-9,9,0.00259129935875535,0.8611241589540416
1,1,"{40, 30}",167,153,-14,14,0.0030346987769007683,0.8611241589540416
1,1,"{42, 30}",132,116,-16,16,0.0023923960980027914,0.8611241589540416
1,1,"{43, 30}",130,143,13,13,0.002337452257052064,0.8611241589540416
1,1,"{45, 30}",113,150,37,37,0.004105214960873127,0.8611241589540416
1,1,"{46, 30}",137,127,-10,10,0.0024218885228037834,0.8611241589540416
1,1,"{48, 30}",34,100,66,66,0.004244472831487656,0.8611241589540416
1,1,"{51, 30}",138,134,-4,4,0.0026520099490880966,0.8611241589540416
1,1,"{52, 30}",89,105,16,16,0.0041807834059000015,0.8611241589540416
1,1,"{53, 30}",176,171,-5,5,0.002982613630592823,0.8611241589540416
1,1,"{54, 30}",129,117,-12,12,0.0024572534020990133,0.8611241589540416
1,1,"{61, 30}",133,131,-2,2,0.005863299127668142,0.8611241589540416
1,1,"{30, 63}",32,122,90,90,0.0033569608349353075,0.8611241589540416
1,1,"{32, 31}",12,22,10,10,0.0015733956824988127,0.8611241589540416
1,1,"{35, 31}",58,59,1,1,0.0015897414414212108,0.8611241589540416
1,1,"{36, 31}",5,27,22,22,0.0014430341543629766,0.8611241589540416
1,1,"{40, 31}",27,82,55,55,0.001668287324719131,0.8611241589540416
1,1,"{42, 31}",43,42,-1,1,0.0011408537393435836,0.8611241589540416
1,1,"{43, 31}",11,52,41,41,0.001042485935613513,0.8611241589540416
1,1,"{45, 31}",148,138,-10,10,0.002896438119933009,0.8611241589540416
1,1,"{46, 31}",1,17,16,16,0.001155487960204482,0.8611241589540416
1,1,"{48, 31}",172,167,-5,5,0.0030238672625273466,0.8611241589540416
1,1,"{51, 31}",16,74,58,58,0.001441550673916936,0.8611241589540416
1,1,"{52, 31}",175,170,-5,5,0.002965384628623724,0.8611241589540416
1,1,"{53, 31}",47,78,31,31,0.0018018028931692243,0.8611241589540416
1,1,"{54, 31}",49,76,27,27,0.0011968491598963737,0.8611241589540416
1,1,"{61, 31}",202,202,0,0,0.00454974640160799,0.8611241589540416
1,1,"{63, 31}",126,107,-19,19,0.0021520706359297037,0.8611241589540416
1,1,"{32, 35}",54,40,-14,14,0.0017678691074252129,0.8611241589540416
1,1,"{32, 36}",2,41,39,39,0.0017208880744874477,0.8611241589540416
1,1,"{32, 40}",17,31,14,14,0.0020126313902437687,0.8611241589540416
1,1,"{32, 42}",69,35,-34,34,0.0014176475815474987,0.8611241589540416
1,1,"{32, 43}",44,20,-24,24,0.0013339499710127711,0.8611241589540416
1,1,"{32, 45}",169,161,-8,8,0.0031044501811265945,0.8611241589540416
1,1,"{32, 46}",24,38,14,14,0.0014045903226360679,0.8611241589540416
1,1,"{32, 48}",187,179,-8,8,0.003276789328083396,0.8611241589540416
1,1,"{32, 51}",50,36,-14,14,0.0016849040985107422,0.8611241589540416
1,1,"{32, 52}",186,174,-12,12,0.0032021664083003998,0.8611241589540416
1,1,"{32, 53}",19,109,90,90,0.002060316037386656,0.8611241589540416
1,1,"{32, 54}",80,19,-61,61,0.0014397259801626205,0.8611241589540416
1,1,"{32, 61}",206,198,-8,8,0.004856187850236893,0.8611241589540416
1,1,"{32, 63}",141,125,-16,16,0.002410536166280508,0.8611241589540416
1,1,"{35, 36}",36,37,1,1,0.001670151948928833,0.8611241589540416
1,1,"{40, 35}",84,53,-31,31,0.001980818575248122,0.8611241589540416
1,1,"{42, 35}",56,3,-53,53,0.0013925586827099323,0.8611241589540416
1,1,"{43, 35}",66,18,-48,48,0.0013260600389912724,0.8611241589540416
1,1,"{35, 45}",177,172,-5,5,0.0031474949792027473,0.8611241589540416
1,1,"{35, 46}",52,25,-27,27,0.0014007620047777891,0.8611241589540416
1,1,"{48, 35}",183,181,-2,2,0.0032240417785942554,0.8611241589540416
1,1,"{51, 35}",87,102,15,15,0.0017137351678684354,0.8611241589540416
1,1,"{35, 52}",174,178,4,4,0.003152251709252596,0.8611241589540416
1,1,"{35, 53}",96,85,-11,11,0.0020571553613990545,0.8611241589540416
1,1,"{35, 54}",98,71,-27,27,0.001453746808692813,0.8611241589540416
1,1,"{35, 61}",204,204,0,0,0.0049672513268888,0.8611241589540416
1,1,"{35, 63}",134,137,3,3,0.0023878924548625946,0.8611241589540416
1,1,"{40, 36}",28,30,2,2,0.0018479264108464122,0.8611241589540416
1,1,"{42, 36}",55,16,-39,39,0.0012762041296809912,0.8611241589540416
1,1,"{43, 36}",25,26,1,1,0.0011859799269586802,0.8611241589540416
1,1,"{36, 45}",164,186,22,22,0.00309912976808846,0.8611241589540416
1,1,"{36, 46}",13,49,36,36,0.001261418336071074,0.8611241589540416
1,1,"{48, 36}",184,192,8,8,0.003158588893711567,0.8611241589540416
1,1,"{51, 36}",45,33,-12,12,0.0015840657288208604,0.8611241589540416
1,1,"{36, 52}",182,169,-13,13,0.003090089885517955,0.8611241589540416
1,1,"{36, 53}",46,103,57,57,0.0019436574075371027,0.8611241589540416
1,1,"{36, 54}",72,5,-67,67,0.0013406636426225305,0.8611241589540416
1,1,"{36, 61}",205,201,-4,4,0.004738331772387028,0.8611241589540416
1,1,"{36, 63}",135,115,-20,20,0.002263844246044755,0.8611241589540416
1,1,"{40, 42}",90,13,-77,77,0.0015564276836812496,0.8611241589540416
1,1,"{40, 43}",62,39,-23,23,0.0014933006605133414,0.8611241589540416
1,1,"{40, 45}",161,168,7,7,0.003362353891134262,0.8611241589540416
1,1,"{40, 46}",53,15,-38,38,0.001584486337378621,0.8611241589540416
1,1,"{40, 48}",188,180,-8,8,0.0034945053048431873,0.8611241589540416
1,1,"{40, 51}",29,79,50,50,0.0018694070167839527,0.8611241589540416
1,1,"{40, 52}",189,189,0,0,0.003327460028231144,0.8611241589540416
1,1,"{40, 53}",6,68,62,62,0.002220685128122568,0.8611241589540416
1,1,"{40, 54}",81,11,-70,70,0.0016330271027982235,0.8611241589540416
1,1,"{40, 61}",207,205,-2,2,0.004986522253602743,0.8611241589540416
1,1,"{40, 63}",144,132,-12,12,0.0026017886120826006,0.8611241589540416
1,1,"{42, 43}",22,1,-21,21,0.0008529193582944572,0.8611241589540416
1,1,"{42, 45}",147,128,-19,19,0.0027176064904779196,0.8611241589540416
1,1,"{42, 46}",18,14,-4,4,0.0009509227238595486,0.8611241589540416
1,1,"{48, 42}",160,158,-2,2,0.0028919840697199106,0.8611241589540416
1,1,"{42, 51}",71,23,-48,48,0.001249933848157525,0.8611241589540416
1,1,"{42, 52}",158,145,-13,13,0.002807233715429902,0.8611241589540416
1,1,"{42, 53}",100,6,-94,94,0.001657285843975842,0.8611241589540416
1,1,"{42, 54}",48,10,-38,38,0.0010025869123637676,0.8611241589540416
1,1,"{42, 61}",198,197,-1,1,0.00452794274315238,0.8611241589540416
1,1,"{42, 63}",116,86,-30,30,0.002012185752391815,0.8611241589540416
1,1,"{43, 45}",140,119,-21,21,0.002663559280335903,0.8611241589540416
1,1,"{43, 46}",3,51,48,48,0.0008090797928161919,0.8611241589540416
1,1,"{48, 43}",156,149,-7,7,0.0027747100684791803,0.8611241589540416
1,1,"{51, 43}",23,43,20,20,0.0012080685701221228,0.8611241589540416
1,1,"{43, 52}",157,148,-9,9,0.002740815281867981,0.8611241589540416
1,1,"{43, 53}",70,48,-22,22,0.0016056632157415152,0.8611241589540416
1,1,"{43, 54}",30,4,-26,26,0.0009393051732331514,0.8611241589540416
1,1,"{43, 61}",196,194,-2,2,0.004406918305903673,0.8611241589540416
1,1,"{43, 63}",114,83,-31,31,0.0019226777367293835,0.8611241589540416
1,1,"{45, 46}",143,126,-17,17,0.002755924826487899,0.8611241589540416
1,1,"{48, 45}",112,176,64,64,0.004613339435309172,0.8611241589540416
1,1,"{51, 45}",131,135,4,4,0.0029821451753377914,0.8611241589540416
1,1,"{52, 45}",170,177,7,7,0.0044362894259393215,0.8611241589540416
1,1,"{53, 45}",173,182,9,9,0.0033829549793154,0.8611241589540416
1,1,"{45, 54}",123,108,-15,15,0.0026886819396167994,0.8611241589540416
1,1,"{61, 45}",194,188,-6,6,0.0061897654086351395,0.8611241589540416
1,1,"{45, 63}",118,141,23,23,0.003679887158796191,0.8611241589540416
1,1,"{48, 46}",163,156,-7,7,0.002861287444829941,0.8611241589540416
1,1,"{51, 46}",20,2,-18,18,0.0012908981880173087,0.8611241589540416
1,1,"{52, 46}",165,154,-11,11,0.0028159557841718197,0.8611241589540416
1,1,"{53, 46}",63,12,-51,51,0.0017141684656962752,0.8611241589540416
1,1,"{54, 46}",37,29,-8,8,0.0010166782885789871,0.8611241589540416
1,1,"{61, 46}",199,200,1,1,0.0044401357881724834,0.8611241589540416
1,1,"{46, 63}",121,99,-22,22,0.0020058886148035526,0.8611241589540416
1,1,"{48, 51}",166,163,-3,3,0.002983961720019579,0.8611241589540416
1,1,"{48, 52}",102,95,-7,7,0.004388813395053148,0.8611241589540416
1,1,"{48, 53}",191,187,-4,4,0.003535396419465542,0.8611241589540416
1,1,"{48, 54}",151,164,13,13,0.002928138477727771,0.8611241589540416
1,1,"{48, 61}",120,118,-2,2,0.0064444164745509624,0.8611241589540416
1,1,"{48, 63}",75,110,35,35,0.0037444131448864937,0.8611241589540416
1,1,"{51, 52}",178,173,-5,5,0.0030067022889852524,0.8611241589540416
1,1,"{51, 53}",59,104,45,45,0.0019476688466966152,0.8611241589540416
1,1,"{51, 54}",31,121,90,90,0.0013092589797452092,0.8611241589540416
1,1,"{51, 61}",200,203,3,3,0.004607915412634611,0.8611241589540416
1,1,"{51, 63}",124,139,15,15,0.002272042678669095,0.8611241589540416
1,1,"{52, 53}",190,190,0,0,0.0034645760897547007,0.8611241589540416
1,1,"{52, 54}",168,162,-6,6,0.002866067225113511,0.8611241589540416
1,1,"{52, 61}",110,130,20,20,0.0063472650945186615,0.8611241589540416
1,1,"{52, 63}",83,113,30,30,0.0035639076959341764,0.8611241589540416
1,1,"{53, 54}",94,60,-34,34,0.001732983160763979,0.8611241589540416
1,1,"{61, 53}",209,208,-1,1,0.005222116596996784,0.8611241589540416
1,1,"{53, 63}",150,157,7,7,0.0026186099275946617,0.8611241589540416
1,1,"{61, 54}",197,196,-1,1,0.00447568716481328,0.8611241589540416
1,1,"{54, 63}",115,88,-27,27,0.0020559101831167936,0.8611241589540416
1,1,"{61, 63}",139,155,16,16,0.005494026001542807,0.8611241589540416
1,2,"{4, 5}",110,116,6,6,0.0021090470254421234,0.861615261764925
1,2,"{4, 6}",100,70,-30,30,0.002008090727031231,0.861615261764925
1,2,"{4, 7}",16,23,7,7,0.0007452201098203659,0.861615261764925
1,2,"{8, 4}",14,27,13,13,0.0007104696705937386,0.861615261764925
1,2,"{9, 4}",62,26,-36,36,0.0014121975982561707,0.861615261764925
1,2,"{11, 4}",96,49,-47,47,0.00197478081099689,0.861615261764925
1,2,"{4, 13}",20,24,4,4,0.00109009793959558,0.861615261764925
1,2,"{4, 15}",140,142,2,2,0.0028447885997593403,0.861615261764925
1,2,"{17, 4}",75,42,-33,33,0.0017047572182491422,0.861615261764925
1,2,"{18, 4}",182,183,1,1,0.005031212233006954,0.861615261764925
1,2,"{19, 4}",32,19,-13,13,0.0011787465773522854,0.861615261764925
1,2,"{4, 22}",206,147,-59,59,0.036299314349889755,0.861615261764925
1,2,"{4, 23}",76,29,-47,47,0.001707590650767088,0.861615261764925
1,2,"{25, 4}",22,17,-5,5,0.001078678877092898,0.861615261764925
1,2,"{26, 4}",173,167,-6,6,0.0043852967210114,0.861615261764925
1,2,"{4, 37}",153,145,-8,8,0.00305771897546947,0.861615261764925
1,2,"{4, 44}",134,134,0,0,0.0026122573763132095,0.861615261764925
1,2,"{56, 4}",106,106,0,0,0.0020731643307954073,0.861615261764925
1,2,"{59, 4}",19,15,-4,4,0.0008885535644367337,0.861615261764925
1,2,"{4, 60}",17,11,-6,6,0.0008015479543246329,0.861615261764925
1,2,"{5, 6}",5,102,97,97,0.0030890246853232384,0.861615261764925
1,2,"{5, 7}",109,107,-2,2,0.0019462675554677844,0.861615261764925
1,2,"{8, 5}",111,108,-3,3,0.001947580836713314,0.861615261764925
1,2,"{9, 5}",88,90,2,2,0.0025479996111243963,0.861615261764925
1,2,"{11, 5}",11,105,94,94,0.0031853073742240667,0.861615261764925
1,2,"{13, 5}",124,125,1,1,0.002280960325151682,0.861615261764925
1,2,"{5, 15}",42,82,40,40,0.003886094782501459,0.861615261764925
1,2,"{17, 5}",35,83,48,48,0.002856736769899726,0.861615261764925
1,2,"{18, 5}",151,195,44,44,0.0063808332197368145,0.861615261764925
1,2,"{19, 5}",133,131,-2,2,0.002408737549558282,0.861615261764925
1,2,"{5, 22}",195,169,-26,26,0.03778679296374321,0.861615261764925
1,2,"{5, 23}",55,94,39,39,0.002804491436108947,0.861615261764925
1,2,"{25, 5}",128,126,-2,2,0.0022481493651866913,0.861615261764925
1,2,"{26, 5}",139,163,24,24,0.005559951066970825,0.861615261764925
1,2,"{37, 5}",57,104,47,47,0.004161817021667957,0.861615261764925
1,2,"{44, 5}",29,92,63,63,0.0037395614199340343,0.861615261764925
1,2,"{56, 5}",3,93,90,90,0.0032442633528262377,0.861615261764925
1,2,"{59, 5}",129,124,-5,5,0.002037462778389454,0.861615261764925
1,2,"{60, 5}",108,114,6,6,0.0019358418649062514,0.861615261764925
1,2,"{6, 7}",95,55,-40,40,0.0018607421079650521,0.861615261764925
1,2,"{8, 6}",99,65,-34,34,0.0018834196962416172,0.861615261764925
1,2,"{9, 6}",83,61,-22,22,0.0025075499434024096,0.861615261764925
1,2,"{11, 6}",10,57,47,47,0.003061312949284911,0.861615261764925
1,2,"{13, 6}",118,75,-43,43,0.0022260218393057585,0.861615261764925
1,2,"{6, 15}",48,79,31,31,0.00379932695068419,0.861615261764925
1,2,"{17, 6}",27,91,64,64,0.0027670084964483976,0.861615261764925
1,2,"{18, 6}",161,191,30,30,0.005995211657136679,0.861615261764925
1,2,"{19, 6}",125,122,-3,3,0.0023811778519302607,0.861615261764925
1,2,"{6, 22}",193,158,-35,35,0.03855130821466446,0.861615261764925
1,2,"{6, 23}",50,52,2,2,0.0027751487214118242,0.861615261764925
1,2,"{25, 6}",120,111,-9,9,0.002164623001590371,0.861615261764925
1,2,"{26, 6}",146,144,-2,2,0.005295742303133011,0.861615261764925
1,2,"{37, 6}",64,50,-14,14,0.0040742140263319016,0.861615261764925
1,2,"{44, 6}",36,46,10,10,0.0037218250799924135,0.861615261764925
1,2,"{56, 6}",2,86,84,84,0.00312109780497849,0.861615261764925
1,2,"{59, 6}",121,115,-6,6,0.0019834486301988363,0.861615261764925
1,2,"{60, 6}",94,54,-40,40,0.0018853493966162205,0.861615261764925
1,2,"{8, 7}",0,16,16,16,0.0005786088295280933,0.861615261764925
1,2,"{9, 7}",51,12,-39,39,0.0012487965868785977,0.861615261764925
1,2,"{11, 7}",93,47,-46,46,0.0017822975059971213,0.861615261764925
1,2,"{13, 7}",30,1,-29,29,0.0009528496884740889,0.861615261764925
1,2,"{15, 7}",143,141,-2,2,0.0026577620301395655,0.861615261764925
1,2,"{17, 7}",72,43,-29,29,0.0015552337281405926,0.861615261764925
1,2,"{18, 7}",183,170,-13,13,0.004805452656000853,0.861615261764925
1,2,"{19, 7}",40,2,-38,38,0.0010472963331267238,0.861615261764925
1,2,"{22, 7}",196,152,-44,44,0.032725922763347626,0.861615261764925
1,2,"{23, 7}",66,31,-35,35,0.0014879003865644336,0.861615261764925
1,2,"{25, 7}",25,3,-22,22,0.0009273813921026886,0.861615261764925
1,2,"{26, 7}",174,175,1,1,0.004211373161524534,0.861615261764925
1,2,"{37, 7}",158,165,7,7,0.002825955394655466,0.861615261764925
1,2,"{44, 7}",135,137,2,2,0.0024220221675932407,0.861615261764925
1,2,"{56, 7}",103,72,-31,31,0.0018974901176989079,0.861615261764925
1,2,"{59, 7}",15,36,21,21,0.000686873565427959,0.861615261764925
1,2,"{60, 7}",1,33,32,32,0.0005933229112997651,0.861615261764925
1,2,"{8, 9}",52,4,-48,48,0.0012453574454411864,0.861615261764925
1,2,"{8, 11}",98,66,-32,32,0.0018118064617738128,0.861615261764925
1,2,"{8, 13}",31,5,-26,26,0.0009416512912139297,0.861615261764925
1,2,"{8, 15}",144,140,-4,4,0.0026649257633835077,0.861615261764925
1,2,"{8, 17}",74,44,-30,30,0.0015611867420375347,0.861615261764925
1,2,"{8, 18}",185,180,-5,5,0.0050258757546544075,0.861615261764925
1,2,"{8, 19}",41,6,-35,35,0.0010107674170285463,0.861615261764925
1,2,"{8, 22}",198,146,-52,52,0.03292408213019371,0.861615261764925
1,2,"{8, 23}",68,7,-61,61,0.0015019787242636085,0.861615261764925
1,2,"{8, 25}",26,8,-18,18,0.0009155941661447287,0.861615261764925
1,2,"{8, 26}",175,177,2,2,0.004223237279802561,0.861615261764925
1,2,"{8, 37}",162,161,-1,1,0.0028747667092829943,0.861615261764925
1,2,"{8, 44}",138,135,-3,3,0.002451630076393485,0.861615261764925
1,2,"{8, 56}",107,76,-31,31,0.0018970867386087775,0.861615261764925
1,2,"{8, 59}",13,9,-4,4,0.0007229191833175719,0.861615261764925
1,2,"{8, 60}",4,35,31,31,0.0006300604436546564,0.861615261764925
1,2,"{9, 11}",90,69,-21,21,0.0024894853122532368,0.861615261764925
