partition,fold,pair,rank_b,rank_c,rank_diff,abs_rank_diff,oracle_kl,spearman_rho_fold
0,0,"{28, 15}",219,216,-3,3,0.003554387716576457,0.772289180085282
0,0,"{32, 15}",209,212,3,3,0.003279105992987752,0.772289180085282
0,0,"{33, 15}",36,176,140,140,0.0038300890009850264,0.772289180085282
0,0,"{34, 15}",146,188,42,42,0.003479564096778631,0.772289180085282
0,0,"{36, 15}",200,197,-3,3,0.00309254159219563,0.772289180085282
0,0,"{39, 15}",172,173,1,1,0.002853038953617215,0.772289180085282
0,0,"{44, 15}",7,169,162,162,0.004463168326765299,0.772289180085282
0,0,"{46, 15}",168,165,-3,3,0.002868067007511854,0.772289180085282
0,0,"{48, 15}",10,168,158,158,0.004635268822312355,0.772289180085282
0,0,"{50, 15}",165,186,21,21,0.0031341451685875654,0.772289180085282
0,0,"{52, 15}",126,178,52,52,0.004547095391899347,0.772289180085282
0,0,"{53, 15}",212,206,-6,6,0.0033897857647389174,0.772289180085282
0,0,"{60, 15}",167,167,0,0,0.002675034338608384,0.772289180085282
0,0,"{17, 19}",101,64,-37,37,0.002030191943049431,0.772289180085282
0,0,"{17, 20}",134,129,-5,5,0.00230771373026073,0.772289180085282
0,0,"{17, 26}",228,227,-1,1,0.005100868176668882,0.772289180085282
0,0,"{17, 28}",81,88,7,7,0.0024621463380753994,0.772289180085282
0,0,"{32, 17}",59,95,36,36,0.00214642402715981,0.772289180085282
0,0,"{17, 33}",187,189,2,2,0.0026967350859194994,0.772289180085282
0,0,"{17, 34}",140,128,-12,12,0.002383776707574725,0.772289180085282
0,0,"{17, 36}",20,57,37,37,0.0020279008895158768,0.772289180085282
0,0,"{17, 39}",85,34,-51,51,0.0017332870047539473,0.772289180085282
0,0,"{17, 44}",206,201,-5,5,0.00337080261670053,0.772289180085282
0,0,"{17, 46}",86,36,-50,50,0.0017517473315820098,0.772289180085282
0,0,"{48, 17}",216,209,-7,7,0.003601799253374338,0.772289180085282
0,0,"{17, 50}",122,114,-8,8,0.002086352091282606,0.772289180085282
0,0,"{17, 52}",208,205,-3,3,0.003473245771601796,0.772289180085282
0,0,"{17, 53}",5,105,100,100,0.002390657551586628,0.772289180085282
0,0,"{17, 60}",80,41,-39,39,0.0015680824872106314,0.772289180085282
0,0,"{19, 20}",12,101,89,89,0.0018491159426048398,0.772289180085282
0,0,"{26, 19}",210,210,0,0,0.004754222463816404,0.772289180085282
0,0,"{19, 28}",157,119,-38,38,0.002142525976523757,0.772289180085282
0,0,"{32, 19}",79,6,-73,73,0.001693331403657794,0.772289180085282
0,0,"{33, 19}",113,136,23,23,0.0022498106118291616,0.772289180085282
0,0,"{34, 19}",15,55,40,40,0.0019471936393529177,0.772289180085282
0,0,"{19, 36}",53,22,-31,31,0.0015578739112243056,0.772289180085282
0,0,"{19, 39}",8,60,52,52,0.0011888155713677406,0.772289180085282
0,0,"{19, 44}",161,124,-37,37,0.002943717408925295,0.772289180085282
0,0,"{19, 46}",47,24,-23,23,0.0012000341666862369,0.772289180085282
0,0,"{48, 19}",164,143,-21,21,0.003197161015123129,0.772289180085282
0,0,"{50, 19}",9,14,5,5,0.0016140596708282828,0.772289180085282
0,0,"{19, 52}",129,100,-29,29,0.0031520361080765724,0.772289180085282
0,0,"{19, 53}",103,46,-57,57,0.0019479962065815926,0.772289180085282
0,0,"{19, 60}",33,58,25,25,0.0010950162541121244,0.772289180085282
0,0,"{26, 20}",195,187,-8,8,0.004958895035088062,0.772289180085282
0,0,"{20, 28}",192,184,-8,8,0.002429799409583211,0.772289180085282
0,0,"{32, 20}",121,94,-27,27,0.0019696662202477455,0.772289180085282
0,0,"{33, 20}",108,162,54,54,0.0025333957746624947,0.772289180085282
0,0,"{34, 20}",4,79,75,75,0.002200306626036763,0.772289180085282
0,0,"{20, 36}",92,54,-38,38,0.001830330234952271,0.772289180085282
0,0,"{20, 39}",28,15,-13,13,0.001559211639687419,0.772289180085282
0,0,"{20, 44}",153,147,-6,6,0.0032302592881023884,0.772289180085282
0,0,"{20, 46}",78,18,-60,60,0.001597801223397255,0.772289180085282
0,0,"{48, 20}",148,160,12,12,0.0034238435328006744,0.772289180085282
0,0,"{50, 20}",21,93,72,72,0.0019087936962023377,0.772289180085282
0,0,"{20, 52}",91,107,16,16,0.0032858962658792734,0.772289180085282
0,0,"{20, 53}",136,122,-14,14,0.0022337890695780516,0.772289180085282
0,0,"{20, 60}",60,76,16,16,0.0013859609607607126,0.772289180085282
0,0,"{26, 28}",230,228,-2,2,0.005285251419991255,0.772289180085282
0,0,"{32, 26}",227,225,-2,2,0.004839878063648939,0.772289180085282
0,0,"{33, 26}",198,196,-2,2,0.005263231229037046,0.772289180085282
0,0,"{26, 34}",196,195,-1,1,0.0050377859733998775,0.772289180085282
0,0,"{26, 36}",226,224,-2,2,0.004704921040683985,0.772289180085282
0,0,"{26, 39}",218,214,-4,4,0.004437709227204323,0.772289180085282
0,0,"{26, 44}",197,183,-14,14,0.005837734788656235,0.772289180085282
0,0,"{26, 46}",223,219,-4,4,0.004437835421413183,0.772289180085282
0,0,"{48, 26}",173,157,-16,16,0.005980446003377438,0.772289180085282
0,0,"{26, 50}",214,211,-3,3,0.004664413630962372,0.772289180085282
0,0,"{26, 52}",93,108,15,15,0.005809315014630556,0.772289180085282
0,0,"{26, 53}",229,229,0,0,0.005108259152621031,0.772289180085282
0,0,"{26, 60}",221,222,1,1,0.004235440399497747,0.772289180085282
0,0,"{32, 28}",94,43,-51,51,0.002292400225996971,0.772289180085282
0,0,"{33, 28}",191,194,3,3,0.002837710315361619,0.772289180085282
0,0,"{34, 28}",190,185,-5,5,0.0025118649937212467,0.772289180085282
0,0,"{28, 36}",89,45,-44,44,0.00214878236874938,0.772289180085282
0,0,"{28, 39}",138,75,-63,63,0.0018632226856425405,0.772289180085282
