K,partition,fold,category,pair,oracle_kl,rank_b,rank_c,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap,Usage_Asymmetry,Routing_JSD_Proxy,Routing_NPMI_Proxy,Specialization_Diff
25,1,1,Neither,"{1, 35}",0.00160225632134825,106,92,56.843231201171875,0.0023006058763712645,-0.0015675940085202456,0.025454070419073105,0.8984652757644653,0.14783391395662826,0.5854098545495546,0.021871598437428474,0.04209529608488083,-0.07723072171211243,0.4169585704803467
25,1,1,Neither,"{1, 36}",0.001519428682513535,88,67,57.30895233154297,0.0002694574650377035,-0.0007804094930179417,0.00483008474111557,-0.28800439834594727,0.20097344690213859,0.0,0.0072905332781374454,1.2880043983459473,-0.8963106274604797,0.15818940103054047
25,1,1,Neither,"{40, 1}",0.001823193859308958,92,62,57.1277961730957,0.000603802443947643,0.00019639221136458218,0.006984715815633535,-0.1002555713057518,0.2213091527344857,0.0023348648037960383,0.010913971811532974,1.0976866483688354,-0.695453941822052,0.21800723671913147
25,1,1,Neither,"{1, 42}",0.0012384317815303802,74,63,57.774078369140625,0.0009456999250687659,0.0003865156904794276,0.005893940106034279,-0.2868490517139435,0.16678612504792226,0.0011992804317409553,0.036961983889341354,1.2853057384490967,-0.7018892168998718,0.9331847429275513
25,1,1,Neither,"{1, 43}",0.0011808461276814342,64,45,57.42523956298828,0.0006281855748966336,0.0025290343910455704,0.008194705471396446,-0.02201140858232975,0.14675045421965896,0.008518855065879146,0.05353666841983795,1.0133050680160522,-0.6058260202407837,1.4875738620758057
25,1,1,Neither,"{1, 45}",0.002959875389933586,117,185,56.3404655456543,0.0009051567758433521,-0.001096468884497881,0.009939015842974186,-0.07873755693435669,0.28033270548230627,0.014746105363301225,0.06560024619102478,1.0628303289413452,-0.6190465688705444,1.0580087900161743
25,1,1,Neither,"{1, 46}",0.0012439214624464512,68,66,58.09972381591797,7.251292845467106e-05,6.243029201868922e-05,0.005816909018903971,-0.22229351103305817,0.16271898388145284,0.0004097520999795124,0.040629077702760696,1.2217926979064941,-0.7338250279426575,1.0469334125518799
25,1,1,Neither,"{48, 1}",0.0030135030392557383,155,151,55.40144348144531,0.000331259478116408,0.0027467014733701944,0.0025097792968153954,-0.1277375966310501,0.23064357508375977,0.0008672400086724001,0.018786583095788956,1.1267595291137695,-0.7333542704582214,0.36280521750450134
25,1,1,Neither,"{1, 51}",0.001506298896856606,51,84,56.389007568359375,0.000781266251578927,0.0010015057632699609,0.016289256513118744,-0.2440672069787979,0.24599536612604803,0.0001355197181189863,0.032043419778347015,1.243898630142212,-0.784976065158844,0.5860582590103149
25,1,1,Neither,"{1, 52}",0.0029812713619321585,181,175,56.242218017578125,0.0008308595861308277,0.00258879573084414,0.004419272765517235,-0.1669532209634781,0.2784324837897755,0.0007183908045977011,0.06050705909729004,1.1661149263381958,-0.7523818612098694,0.9936885833740234
25,1,1,Neither,"{1, 53}",0.0019003330962732434,103,97,55.95578384399414,-0.0004117244970984757,-0.0019584065303206444,0.007186340168118477,-0.1096569076180458,0.2307769239744637,0.002672444925966053,0.019266797229647636,1.1066913604736328,-0.6930051445960999,0.37132713198661804
25,1,1,Neither,"{1, 61}",0.0045524584129452705,201,206,56.405147552490234,0.0008436090429313481,-0.00032725906930863857,0.009594584815204144,0.11133533716201782,0.2716483589752138,0.049886482174633366,0.06624053418636322,0.8443323373794556,-0.5144132375717163,1.065931797027588
25,1,1,Neither,"{1, 63}",0.002209868049249053,122,114,57.04305648803711,0.00024209977709688246,0.0018809365574270487,0.0166197307407856,-0.25640249252319336,0.2957845081926225,0.0,0.07548102736473083,1.2564024925231934,-0.9106795787811279,1.1764311790466309
25,1,1,Neither,"{2, 3}",0.001626228098757565,107,165,56.1518440246582,0.0011448339791968465,-0.001991554629057646,0.008000456728041172,-0.07143072038888931,0.12386445085259946,0.007132283676490378,0.0830334946513176,1.0637890100479126,-0.6049618721008301,2.661675453186035
25,1,1,Neither,"{16, 2}",0.001916408073157072,77,106,54.67521286010742,0.0007066667312756181,0.0007744385511614382,0.006091104820370674,-0.10866837203502655,0.19517277015651827,0.009650696045776752,0.019907085224986076,1.0979689359664917,-0.6166407465934753,0.4397386908531189
25,1,1,Neither,"{2, 30}",0.0030997712165117264,180,183,55.067142486572266,0.00037700426764786243,-0.0019044340588152409,0.002939513185992837,-0.11879763752222061,0.22392612471455003,0.006997171356260235,0.004918563179671764,1.1109691858291626,-0.6454272866249084,0.09681212157011032
