K,partition,fold,category,count,mean_kl,median_kl,min_kl,max_kl
10,3,0,Geometry_only,9,0.0014611466,0.0012549756,0.00092899025,0.003061313
10,3,0,CARE_only,9,0.0012024174,0.0013406636,0.00068082503,0.0014335635
10,3,0,Both,1,0.0014430342,0.0014430342,0.0014430342,0.0014430342
10,3,0,Neither,72,0.0024990838,0.0023365458,0.00074070174,0.006380833
25,3,0,Geometry_only,16,0.0017050803,0.0015819774,0.0009011024,0.0031853074
25,3,0,CARE_only,16,0.0013260997,0.0013643084,0.00068082503,0.0019311971
25,3,0,Both,9,0.0011486156,0.001155488,0.00074070174,0.0015733957
25,3,0,Neither,68,0.0025563266,0.0023763569,0.0009628177,0.006380833
10,3,1,Geometry_only,7,0.002091634,0.0023754705,0.00090455665,0.0027863143
10,3,1,CARE_only,7,0.0015741579,0.0016250459,0.0011787466,0.002040401
10,3,1,Both,3,0.0010303975,0.0010786789,0.0009109663,0.0011015472
10,3,1,Neither,70,0.002696052,0.0026849408,0.00088855356,0.0059300764
25,3,1,Geometry_only,16,0.0022121696,0.0020440896,0.00088855356,0.0049315803
25,3,1,CARE_only,16,0.0016230398,0.001674193,0.0011787466,0.0024621463
25,3,1,Both,9,0.0014804836,0.0012499338,0.0009109663,0.0023498975
25,3,1,Neither,59,0.00286766,0.0028348176,0.0012384318,0.0059300764
10,3,2,Geometry_only,7,0.0007565049,0.0007473353,0.0005933229,0.0010063002
10,3,2,CARE_only,7,0.0012085118,0.0013621591,0.00064403523,0.001578187
10,3,2,Both,3,0.00088313577,0.0009003219,0.00069855945,0.001050526
10,3,2,Neither,70,0.0043262527,0.0018748572,0.00071406516,0.03828377
25,3,2,Geometry_only,19,0.001013956,0.0008191069,0.0005933229,0.0031075967
25,3,2,CARE_only,19,0.0013781978,0.0014054514,0.0009953723,0.0017716109
25,3,2,Both,6,0.00085614686,0.000820177,0.00064403523,0.0011034061
25,3,2,Neither,58,0.0049728025,0.0021499237,0.0009273886,0.03828377
10,4,0,Geometry_only,10,0.0018267799,0.0018051576,0.0005933229,0.0034766463
10,4,0,CARE_only,10,0.001466869,0.0014991662,0.0008067801,0.0021696326
10,4,0,Neither,74,0.0026553548,0.00242136,0.00069081225,0.005787605
25,4,0,Geometry_only,21,0.0014375192,0.0010514649,0.0005933229,0.0034766463
25,4,0,CARE_only,21,0.0018949319,0.0018335906,0.0011770976,0.002620947
25,4,0,Both,4,0.0016032197,0.0015387378,0.0008067801,0.0025286234
25,4,0,Neither,69,0.0027530042,0.0025261282,0.00135662,0.005787605
10,4,1,Geometry_only,10,0.0012221343,0.001093456,0.0005822562,0.0023648757
10,4,1,CARE_only,10,0.0012811149,0.0012887887,0.0007790518,0.0018675097
10,4,1,Neither,68,0.0041246037,0.0018519186,0.0007229192,0.03307231
25,4,1,Geometry_only,15,0.0012627075,0.0010991896,0.0005822562,0.0023648757
25,4,1,CARE_only,15,0.001281716,0.0011440129,0.00091288175,0.0018675097
25,4,1,Both,10,0.00086680084,0.0008018956,0.0006731064,0.0011905598
25,4,1,Neither,57,0.0047180345,0.0020549335,0.0008666519,0.03307231
10,4,2,Geometry_only,10,0.0013264677,0.0012656214,0.0009109663,0.0018896149
10,4,2,CARE_only,10,0.0013704702,0.0013709449,0.0010025869,0.0020076977
10,4,2,Neither,71,0.0030338294,0.002377704,0.0009778645,0.006839107
25,4,2,Geometry_only,17,0.001820652,0.0017208881,0.00091509783,0.00269179
25,4,2,CARE_only,17,0.0013860833,0.0013881171,0.0009778645,0.0021084705
25,4,2,Both,8,0.0013171386,0.0012480041,0.0009109663,0.0018896149
25,4,2,Neither,61,0.0033013455,0.0026122574,0.0012195756,0.006839107
