pair_id,expert_i,expert_j,selection_stratum,selection_rank,D_pred,D_i_KL,D_j_KL,D_sum_KL,D_i_loss,D_j_loss,D_joint_KL,delta_joint_loss,delta_joint_margin,delta_joint_acc,I_KL,I_loss,I_acc
pair_01,7,19,Group_A,27,0.0009546764,0.0006841150296754,0.001251710324647,0.0019358253543224,-0.0117890625000001,-0.0060624999999987,0.0014266226039147687,-0.012109374999999645,-0.0010747492492082546,0.0,-0.0005092027504076314,0.005742187499999155,0.006
pair_02,13,36,Group_A,131,0.0013820039,0.0011074169125103,0.0012659758308222,0.0023733927433325,-0.0077265625000002,0.0092109375000006,0.0018057810798747347,0.012828125000000412,0.003940292295927066,0.0,-0.0005676116634577653,0.011343750000000012,0.008
pair_03,27,43,Group_A,132,0.0013838233,0.0009092632372365,0.0007767884050688,0.0016860516423053001,-0.0005312499999998,-0.0010078124999992,0.0011985405766123816,0.002007812500000483,-0.0007158899527858024,-0.0020000000000000018,-0.0004875110656929184,0.0035468749999994836,0.0019999999999999983
pair_04,11,47,Group_A,196,0.0015403739,0.0022336952745903,0.0009204645420174,0.0031541598166077,0.0083125000000006,-0.0036796875,0.002678152154905947,0.009804687500000853,0.00039190490061992087,-0.010000000000000009,-0.00047600766170175304,0.005171875000000252,-0.004000000000000009
pair_05,21,53,Group_A,231,0.0016043163,0.0023022702998773,0.0017326246182714,0.0040348949181487,0.001984375000001,0.0144453125000012,0.0034917429138648062,0.0179453125000002,0.002641286785394187,0.0,-0.0005431520042838939,0.0015156249999979995,-0.002
pair_06,24,43,Group_A,260,0.0016376368,0.0024284267623422,0.0007767884050688,0.003205215167411,0.0087031250000002,-0.0010078124999992,0.002671799499048185,0.009218750000000497,0.0020639363143709483,0.0020000000000000018,-0.0005334156683628148,0.0015234374999994972,0.006000000000000002
pair_07,9,14,Group_B,1013,0.0027660572,0.0014536221598576,0.0038132500561367,0.0052668722159943,0.0077265625000002,0.2097265625000002,0.0047474626013133394,0.21874218750000018,0.02863489847021992,0.023999999999999966,-0.0005194096146809608,0.0012890624999997713,0.006000000000000068
pair_08,1,6,Group_B,1094,0.0028539652,0.0012788792907356,0.0022297837389417,0.0035086630296773,-0.0125546874999997,0.0083359375,0.002938870199229978,0.0006171874999996163,-0.0016653132660321718,-0.006000000000000005,-0.0005697928304473218,0.0048359374999993165,-0.0020000000000000052
pair_09,49,56,Group_B,1100,0.0028621235,0.0018940429203666,0.0023438653351686,0.0042379082555352,-0.0004218749999989,-8.59374999997442e-05,0.003693062027462277,-0.0004296875000004974,0.001910692995177668,0.0040000000000000036,-0.0005448462280729233,7.812499999814684e-05,0.0020000000000000035
pair_10,7,32,Group_B,1111,0.0028761248,0.0006841150296754,0.0014444437910169,0.0021285588206923,-0.0117890625000001,0.1972890625000012,0.0015637609270360887,0.17533593749999987,-0.005842509072012036,-0.006000000000000005,-0.0005647978936562113,-0.010164062500001209,-0.0020000000000000052
pair_11,24,35,Group_B,1122,0.0028976304,0.0024284267623422,0.0014863841496679,0.0039148109120101,0.0087031250000002,-0.0318515624999999,0.0033035523968639098,-0.020062499999999872,0.004768135680642445,0.0,-0.00061125851514619,0.00308593749999983,0.0
pair_12,5,39,Group_B,1195,0.002980929,0.002414815303182,0.0008398962982387,0.0032547116014207,-0.0032187500000002,0.0006171874999996,0.0027514000564592654,-0.002164062500000341,-0.0008028719017493142,-0.0020000000000000018,-0.0005033115449614348,0.0004375000000002591,-1.734723475976807e-18
pair_13,58,62,Group_C,1768,0.004165369,0.003167646426153,0.0012978679576443,0.0044655143837973,0.0015234374999995,0.0243906250000005,0.003959870001140241,0.015492187499999588,8.972716729840555e-05,-0.0020000000000000018,-0.0005056443826570588,-0.01042187500000041,0.007999999999999998
pair_14,45,53,Group_C,1835,0.0046352367,0.0032115921545232,0.0017326246182714,0.0049442167727946,0.0034609374999998,0.0144453125000012,0.0043993168124931165,0.015398437500000028,-0.0002484192148112935,0.0,-0.0005448999603014835,-0.002507812500000971,0.004
pair_15,49,59,Group_C,1907,0.0067475233,0.0018940429203666,0.0008370072827369,0.0027310502031035002,-0.0004218749999989,0.0024765625,0.0022119084723436952,0.0018671875000002558,0.0014804333608735773,0.0020000000000000018,-0.0005191417307598049,-0.0001875000000008441,0.004000000000000002
pair_16,10,22,Group_C,1948,0.011552542,0.0019059271999519,0.037781650281999,0.0396875774819509,-0.0244843750000001,0.0002343749999997,0.0390302780863757,-0.01669531249999956,0.004944469391961321,0.0020000000000000018,-0.0006572993955751977,0.00755468750000084,1.734723475976807e-18
pair_17,22,31,Group_C,1963,0.019299634,0.037781650281999,0.0010939075976617,0.038875557879660703,0.0002343749999997,-0.0046249999999989,0.0382784329274221,-0.004148437499999602,-0.00021616734002964308,0.0,-0.0005971249522386019,0.00024218749999959776,0.006
pair_18,4,22,Group_C,1991,0.027212525,0.0008320293120155,0.037781650281999,0.0386136795940145,0.0003124999999997,0.0002343749999997,0.038099330883436894,0.009664062500000625,0.0025995017317636676,-0.0020000000000000018,-0.0005143487105776084,0.009117187500001225,0.009999999999999998
