Layer,Centrality_Metric,Correlation_Algorithm,Coefficient,P_Value
first,Degree,Pearson,-0.2543331511033396,0.04255562680806385
first,Degree,Spearman,-0.4377645649805065,0.00029748892648501625
first,Degree,Kendall,-0.3508710092274354,0.0004084123974195843
first,Betweenness,Pearson,-0.21082822631293502,0.0944775030381596
first,Betweenness,Spearman,-0.46177581562459535,0.0001225972362775384
first,Betweenness,Kendall,-0.3784588147752335,0.0001571057168804213
