partition,n_folds,rho_A_mean,rho_A_std,rho_A_folds,rho_B_mean,rho_B_std,rho_B_folds,rho_C_mean,rho_C_std,rho_C_folds,r_A_mean,r_A_std,r_A_folds,r_B_mean,r_B_std,r_B_folds,r_C_mean,r_C_std,r_C_folds,rmse_A_mean,rmse_A_std,rmse_A_folds,rmse_B_mean,rmse_B_std,rmse_B_folds,rmse_C_mean,rmse_C_std,rmse_C_folds,mae_A_mean,mae_A_std,mae_A_folds,mae_B_mean,mae_B_std,mae_B_folds,mae_C_mean,mae_C_std,mae_C_folds,r2_A_mean,r2_A_std,r2_A_folds,r2_B_mean,r2_B_std,r2_B_folds,r2_C_mean,r2_C_std,r2_C_folds,delta_rho_BA_mean,delta_rho_BA_std,delta_rho_BA_folds,delta_rho_CA_mean,delta_rho_CA_std,delta_rho_CA_folds,delta_rho_CB_mean,delta_rho_CB_std,delta_rho_CB_folds,prec_at_10_A_mean,rec_at_10_A_mean,prec_at_10_B_mean,rec_at_10_B_mean,prec_at_10_C_mean,rec_at_10_C_mean,prec_at_25_A_mean,rec_at_25_A_mean,prec_at_25_B_mean,rec_at_25_B_mean,prec_at_25_C_mean,rec_at_25_C_mean,prec_at_50_A_mean,rec_at_50_A_mean,prec_at_50_B_mean,rec_at_50_B_mean,prec_at_50_C_mean,rec_at_50_C_mean
0,3,0.4791898618321692,0.07577639199016123,"[0.5190249031328492, 0.5454289978486225, 0.37311568451503596]",0.7056229432426093,0.04673936252442606,"[0.64858934169279, 0.7630746405004325, 0.7052048475346056]",0.8138703121410104,0.04727091635855842,"[0.7901081986230769, 0.8798654222589463, 0.7716373155410077]",0.058273730178674064,0.11369606294933307,"[0.1698659360408783, -0.097774937748909, 0.10273019224405289]",0.766047199567159,0.16003910224437132,"[0.6277163028717041, 0.9903486967086792, 0.6800765991210938]",0.6355206171671549,0.06574550132228388,"[0.6801257729530334, 0.5425675511360168, 0.6838685274124146]",0.004856103725691053,0.00359471166586131,"[0.002152562402190825, 0.00993628908743285, 0.0024794596874494835]",0.0012773941080760573,0.00027565592715331867,"[0.0010796479923379637, 0.0016672167157729151, 0.0010853176161172927]",0.0037911832851804,0.004064497113766799,"[0.0008849256856827243, 0.00953912934015087, 0.0009494948297076076]",0.0021029087559630475,0.0012317778156584356,"[0.0011369495186954737, 0.003841319354251027, 0.0013304573949426413]",0.0008470304310321808,0.0001644906006889256,"[0.0007343427278101444, 0.0010796179994940758, 0.0007271305657923222]",0.0015595231282835205,0.001335730710276722,"[0.0006079234881326556, 0.003448513802140951, 0.0006221320945769548]",-1.8435709873835247,1.2533429170463783,"[-2.4393270015716553, -0.09997212886810303, -2.9914138317108154]",0.44634999831517536,0.37186022565093724,"[0.1347804069519043, 0.9690316915512085, 0.23523789644241333]",0.2732035716374715,0.2029463421794333,"[0.4187331199645996, -0.013796329498291016, 0.41467392444610596]",0.22643308141044013,0.08291353051750015,"[0.12956443855994082, 0.21764564265180997, 0.3320891630195696]",0.334680450308841,0.05202676876704644,"[0.2710832954902277, 0.33443642441032373, 0.3985216310259717]",0.10824736889840092,0.031243494020152706,"[0.14151885693028687, 0.11679078175851376, 0.06643246800640212]",0.2333333333333333,0.2333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.26666666666666666,0.45333333333333337,0.45333333333333337,0.36000000000000004,0.36000000000000004,0.38666666666666666,0.38666666666666666,0.5133333333333333,0.5133333333333333,0.6000000000000001,0.6000000000000001,0.64,0.64
1,3,0.5048138328223533,0.04493526725960638,"[0.4429983060417843, 0.5484847405027001, 0.5229584519225753]",0.7023351695689573,0.09198599290747168,"[0.6140102026908624, 0.8292089551755303, 0.663786350840479]",0.7968306716563154,0.0556263550863384,"[0.7330854370796966, 0.8686262882290723, 0.7887802896601773]",0.10209863881270091,0.1444480019056124,"[0.1008438915014267, 0.27963462471961975, -0.07418259978294373]",0.80445929368337,0.14244595745670097,"[0.6402252316474915, 0.7855483293533325, 0.9876043200492859]",0.6326581537723541,0.12491103057627928,"[0.6408745050430298, 0.7813685536384583, 0.47573140263557434]",0.005284095427604044,0.003793403328465979,"[0.0028338598799340815, 0.0023761607532687854, 0.010642265649609265]",0.00117223923035108,0.0003897068034687409,"[0.0008381722729118204, 0.0009596590370761507, 0.001718886381065269]",0.003971628441383831,0.004536590816597016,"[0.0007329236471839888, 0.0007947241941965852, 0.010387237482770918]",0.0022904445650056005,0.0013322128389719303,"[0.001295643043704331, 0.0014022176619619131, 0.004173472989350557]",0.0008235353937683006,0.0002197500090828028,"[0.0006278868531808257, 0.000712251232471317, 0.001130468095652759]",0.0016985589172691107,0.0016668660620419188,"[0.000496202614158392, 0.0005437706131488085, 0.004055703524500132]",-4.898355523745219,4.891720532104216,"[-11.626041412353516, -2.929889440536499, -0.1391357183456421]",0.40824917952219647,0.44017033179201004,"[-0.10452890396118164, 0.3589932322502136, 0.9702832102775574]",0.21021568775177002,0.2663913242721099,"[0.15544497966766357, 0.5603960752487183, -0.08519399166107178]",0.197521336746604,0.06010994150257097,"[0.17101189664907807, 0.28072421467283015, 0.1408278989179037]",0.2920168388339622,0.022217868971462655,"[0.29008713103791234, 0.32014154772637216, 0.26582183773760204]",0.0944955020873582,0.03902103102706885,"[0.11907523438883427, 0.039417333053542, 0.12499393881969834]",0.19999999999999998,0.19999999999999998,0.30000000000000004,0.30000000000000004,0.3,0.3,0.4133333333333334,0.4133333333333334,0.4666666666666666,0.4666666666666666,0.5333333333333333,0.5333333333333333,0.6133333333333334,0.6133333333333334,0.5733333333333334,0.5733333333333334,0.7666666666666666,0.7666666666666666
2,3,0.516584442203575,0.066000846219931,"[0.5872626230364922, 0.5340432079768572, 0.4284474955973755]",0.7886569600979234,0.058287587035824893,"[0.7746733775969159, 0.8660014966325766, 0.7252960060642775]",0.8583016179011996,0.05184153554114902,"[0.915681680102815, 0.8691332714456648, 0.7900899021551192]",0.12486368417739868,0.1897786890943149,"[-0.10226798057556152, 0.3622533082962036, 0.11460572481155396]",0.851552148660024,0.10632212729655825,"[0.9900076389312744, 0.8331097364425659, 0.7315390706062317]",0.7157830198605856,0.10409375765882839,"[0.596703052520752, 0.8502779006958008, 0.7003681063652039]",0.004716871210945343,0.0036996295006420776,"[0.009915709546421816, 0.00160760144330858, 0.002627302643105634]",0.0010867595703564577,0.0002603690961692455,"[0.0013798772229898224, 0.000747199110248726, 0.0011332023778308246]",0.0037302764394348807,0.0040634611775411935,"[0.009472313870431563, 0.000660940508719458, 0.001057574939153621]",0.0020783183087284365,0.0010932773607136266,"[0.003603643039241433, 0.0010967463022097945, 0.0015345655847340822]",0.0006546767059868822,0.00012565194696205468,"[0.0007390372338704765, 0.00047705238102935255, 0.0007479405030608177]",0.0014676520659122616,0.001272371314269016,"[0.003262620884925127, 0.00046081343316473067, 0.0006795218796469271]",-1.006958285967509,0.9130588049759907,"[-0.08079397678375244, -0.6908233165740967, -2.2492575645446777]",0.669774572054545,0.23951676457434243,"[0.9790696501731873, 0.6347298622131348, 0.39552420377731323]",0.40047188599904376,0.2906020557941984,"[0.013703584671020508, 0.7141973972320557, 0.4735146760940552]",0.27207251789434833,0.06155693710825286,"[0.18741075456042366, 0.3319582886557194, 0.29684851046690197]",0.34171717569762466,0.01435006853008672,"[0.3284190570663228, 0.33509006346880754, 0.3616424065577437]",0.06964465780327633,0.05639226684011284,"[0.14100830250589913, 0.0031317748130881284, 0.06479389609084174]",0.16666666666666666,0.16666666666666666,0.39999999999999997,0.39999999999999997,0.13333333333333333,0.13333333333333333,0.38666666666666666,0.38666666666666666,0.5866666666666667,0.5866666666666667,0.32,0.32,0.5266666666666667,0.5266666666666667,0.6866666666666666,0.6866666666666666,0.6866666666666665,0.6866666666666665
3,3,0.4819551715701184,0.1428272989523562,"[0.6123444771120934, 0.28316251080780747, 0.5503585267904543]",0.805412033546482,0.06539524402300334,"[0.7428026246616952, 0.7777688512535107, 0.8956646247242405]",0.8422251123587641,0.05706384375076283,"[0.8411348344876609, 0.7728879798226466, 0.9126525227659846]",0.03983415601154169,0.07762411006535885,"[0.14958347380161285, -0.012902950868010521, -0.01717805489897728]",0.8358467022577921,0.11018378555551692,"[0.7824665904045105, 0.7357549667358398, 0.9893185496330261]",0.6487279931704203,0.0683524489547382,"[0.6721985340118408, 0.7182019352912903, 0.5557835102081299]",0.005760565571289185,0.0034249271520949503,"[0.0035378232343332965, 0.003145041064628938, 0.01059883241490532]",0.0011311325303002592,0.00027633497240173497,"[0.0009214647063188405, 0.0009503599330013972, 0.00152157295158054]",0.004055438352619377,0.004317033342194879,"[0.0011191265502316344, 0.0008880015122318388, 0.01015918699539466]",0.0024651252509405217,0.0010936058287822972,"[0.0016128142597153783, 0.0017736336449161172, 0.004008927848190069]",0.00069497669270883,5.5175798401621725e-05,"[0.000682092213537544, 0.0006347702583298087, 0.0007680676062591374]",0.00159832831316938,0.0014489870327044987,"[0.00055747723672539, 0.000590088777244091, 0.003647418925538659]",-4.531892816225688,3.181961597075578,"[-7.427111625671387, -6.067670822143555, -0.10089600086212158]",0.586753269036611,0.2777985139738988,"[0.4283056855201721, 0.35464316606521606, 0.9773109555244446]",0.19394342104593912,0.18478394672229267,"[0.15673339366912842, 0.4365556240081787, -0.011458754539489746]",0.32345686197636375,0.14946352605528082,"[0.13045814754960183, 0.49460634044570323, 0.3453060979337862]",0.36026994078864566,0.10653592733940179,"[0.22879035737556752, 0.4897254690148391, 0.36229399597553036]",0.03681307881228191,0.044407307056914355,"[0.09833220982596569, -0.004880871430864131, 0.016987898041744165]",0.19999999999999998,0.19999999999999998,0.4333333333333333,0.4333333333333333,0.30000000000000004,0.30000000000000004,0.24000000000000002,0.24000000000000002,0.5466666666666667,0.5466666666666667,0.38666666666666666,0.38666666666666666,0.48666666666666664,0.48666666666666664,0.6666666666666666,0.6666666666666666,0.68,0.68
4,3,0.41604852278821136,0.3154636013587959,"[-0.008961430557796992, 0.5110765641036321, 0.7460304348187989]",0.7502161915935387,0.05829974729425768,"[0.6682012889659067, 0.7985351141749246, 0.7839121716397844]",0.7616763164084515,0.19916795922585329,"[0.48005907448947666, 0.8979450294670027, 0.9070248452688748]",0.06675667067368825,0.2885626644997072,"[-0.18681257963180542, -0.08336950838565826, 0.47045210003852844]",0.8556660612424215,0.10905704942413852,"[0.7210044860839844, 0.9881110191345215, 0.8578826785087585]",0.6968253751595815,0.16812950883333422,"[0.4659412205219269, 0.7630670666694641, 0.8614678382873535]",0.005613337792678335,0.00368256311642305,"[0.005225957916202496, 0.010304733733217353, 0.0013093217286151541]",0.0011387514281949887,0.0003064585621448462,"[0.0010684716319786037, 0.0015442571429637735, 0.0008035255096425891]",0.003949039263364712,0.004117361750999204,"[0.0014100860068132408, 0.009756608988269454, 0.0006804227950114408]",0.00250325536277766,0.0012233159299209454,"[0.0028738011606037617, 0.003781462786719203, 0.0008545021410100162]",0.0007351235835812986,0.00010643064847993828,"[0.0007403899217024446, 0.0008627609931863844, 0.0006022198358550668]",0.001620721004049604,0.0013400285767401904,"[0.0009794585639610887, 0.0034857296850532293, 0.0003969747631344944]",-4.893764853477478,6.759687121456527,"[-14.453402519226074, -0.10682249069213867, -0.12106955051422119]",0.6356480320294698,0.25685242615284204,"[0.3540211319923401, 0.975143313407898, 0.5777796506881714]",0.1933178702990214,0.3604326138415941,"[-0.12508022785186768, 0.007793128490447998, 0.6972407102584839]",0.3341676688053272,0.26306697504757337,"[0.6771627195237037, 0.2874585500712925, 0.0378817368209855]",0.3456277936202401,0.13705442821142486,"[0.4890205050472736, 0.3868684653633706, 0.1609944104500759]",0.01146012481491282,0.14147149436341813,"[-0.18814221447643004, 0.0994099152920781, 0.1231126736290904]",0.03333333333333333,0.03333333333333333,0.39999999999999997,0.39999999999999997,0.13333333333333333,0.13333333333333333,0.3066666666666667,0.3066666666666667,0.5466666666666667,0.5466666666666667,0.44,0.44,0.48,0.48,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.6666666666666666
