q,n_train,n_test,test_train_spearman,test_train_pearson,test_train_rmse,test_train_mae,test_train_norm_stress,test_test_spearman,test_test_pearson,test_test_rmse,test_test_mae,test_test_norm_stress,layer,label,realization,repetition,fold,seed
2,51,13,0.2024342946007211,0.21163469668954543,0.0032010022544449773,0.0022794601102945657,0.550775412344223,0.1604345022066541,0.0371172809610167,0.004255486440685444,0.00258534025577932,0.6537542175366942,first,null_a,0,0,0,4202
4,51,13,0.2435498991770282,0.2850794143501756,0.0028005621569777103,0.0019073696265990824,0.48187431754010934,-0.05019031601310082,-0.10377357184186331,0.004244581286349974,0.002642893707082733,0.6520789000990586,first,null_a,0,0,0,4204
6,51,13,0.2845913873810782,0.340873991564257,0.002678726432211132,0.001786945461552655,0.46091084541090765,0.04637135016881852,0.032433504186740465,0.003994246176411557,0.0023818478815304427,0.6136208680501087,first,null_a,0,0,0,4206
8,51,13,0.3184650812241323,0.3681298899394592,0.0026397551100754077,0.0017176780692399057,0.45420530623513944,0.012380025038252886,0.04906261658060438,0.0038866679361902238,0.002282698691460234,0.5970940316378316,first,null_a,0,0,0,4208
2,51,13,0.21064840625917702,0.2532746113093265,0.0030631463074607826,0.002227987170127488,0.5331408675222348,-0.1480924139151987,-0.169179097200519,0.003280381961667674,0.002378229252749072,0.6442162148728338,first,null_a,0,0,1,4212
4,51,13,0.22050398968431859,0.276983661022006,0.002758068625553061,0.001923955433221732,0.48004207181737524,-0.0876971130135687,0.010147444949077843,0.0026380997968282597,0.0019960053769273664,0.5180819445505979,first,null_a,0,0,1,4214
6,51,13,0.302873014113569,0.3535395637674047,0.0025920397279668816,0.0017451988425488505,0.4511447284951646,-0.09973570733064402,-0.05996745168464579,0.0026089354355816508,0.0019656310514292387,0.5123545156624316,first,null_a,0,0,1,4216
8,51,13,0.3427033584434112,0.38599698076444156,0.0025438567978661496,0.0017083943907708783,0.4427584855360544,0.107575968335462,0.05840925891860984,0.002423041848510566,0.001758079265091509,0.47584789404597005,first,null_a,0,0,1,4218
2,51,13,0.12580863020920743,0.20537327056739857,0.0033125676743659496,0.0024465036355769887,0.5547609507335415,0.05641194248789185,-0.08810484942797821,0.004076707050889812,0.002789618673557493,0.6707939635795562,first,null_a,0,0,2,4222
4,51,13,0.19673458087109136,0.29366947007427624,0.002888339311871299,0.00204280446863952,0.48371475550351867,-0.15092502434274585,-0.29268638560589566,0.004023782035525052,0.0026091992868579696,0.6620855181637182,first,null_a,0,0,2,4224
