Step,Static Pair,Adaptive Pair,Static Capability Dist,Adaptive Capability Dist,Static Marginal KL,Adaptive Marginal KL,Delta KL (Static - Adaptive),Note
64,"(8, 13)","(13, 15)",0.015663625672459602,0.015744714066386223,0.07427826243120791,0.04669003127203664,0.02758823115917127,Direct comparison at identical state M_t
63,"(8, 14)","(12, 13)",0.015834210440516472,0.01762315072119236,0.02768490585826839,0.028346051812218134,-0.000661145953949744,State diverged (KL measured at different states)
62,"(7, 10)","(10, 12)",0.01804296299815178,0.02063489332795143,0.06349222961283364,0.03259042974914203,0.030901799863691612,State diverged (KL measured at different states)
61,"(0, 11)","(7, 10)",0.019942644983530045,0.01746521145105362,0.06199704759913411,0.040348338805155426,0.021648708793978684,State diverged (KL measured at different states)
60,"(0, 8)","(5, 12)",0.021227065473794937,0.023119155317544937,0.005563014723382676,0.05679244407463591,-0.051229429351253235,State diverged (KL measured at different states)
59,"(7, 10)","(1, 4)",0.023937352001667023,0.02330133691430092,0.06596866034056971,0.05461868021996689,0.011349980120602822,State diverged (KL measured at different states)
58,"(1, 4)","(4, 15)",0.02424982562661171,0.022585120052099228,0.05790987718230054,0.04326757548807388,0.014642301694226659,State diverged (KL measured at different states)
57,"(0, 3)","(4, 6)",0.025717224925756454,0.02196422964334488,0.05727099593088248,0.005245532642700093,0.05202546328818239,State diverged (KL measured at different states)
