pair_id,expert_i,expert_j,D_pred,Weight_Distance,Weight_Cosine,Routing_Similarity,selection_stratum,stratum_name,selection_rank,Oracle_KL
pair_01,7,19,0.0009546764,58.01090621948242,0.0016047151293605566,-0.060834433883428574,Group_A,Safe,27,0.0010472963463983953
pair_02,13,36,0.0013820039,57.53377151489258,0.0011142002185806632,-0.18737542629241943,Group_A,Safe,131,0.0014331737429778395
pair_03,27,43,0.0013838233,58.476661682128906,0.00048559074639342725,-0.14509962499141693,Group_A,Safe,132,0.0008771130710047519
pair_04,11,47,0.0015403739,59.052337646484375,0.002455263864248991,0.054221898317337036,Group_A,Safe,196,0.0020284555311470727
pair_05,21,53,0.0016043163,56.12015151977539,0.001738702761940658,-0.03139302507042885,Group_A,Safe,231,0.0027369677618894247
pair_06,24,43,0.0016376368,57.042781829833984,0.0010606255382299423,-0.29552653431892395,Group_A,Safe,260,0.002119491356918746
pair_07,9,14,0.0027660572,58.38844299316406,0.0017848032293841243,0.011859491467475891,Group_B,Moderate,1013,0.0037457255986772576
pair_08,1,6,0.0028539652,55.72296142578125,-0.00021897201077081263,-0.12480402737855911,Group_B,Moderate,1094,0.0022440533259729546
pair_09,49,56,0.0028621235,56.19424819946289,0.0007808601367287338,-0.242537721991539,Group_B,Moderate,1100,0.0028214781949000996
pair_10,7,32,0.0028761248,56.7670783996582,0.002190280705690384,0.1809835582971573,Group_B,Moderate,1111,0.001187016639558299
pair_11,24,35,0.0028976304,56.52085876464844,0.0004992745234631002,-0.2173720896244049,Group_B,Moderate,1122,0.0025567448409667378
pair_12,5,39,0.002980929,59.48403549194336,0.0012126400833949447,0.03777049109339714,Group_B,Moderate,1195,0.002109834411953126
pair_13,58,62,0.004165369,57.00248336791992,0.0009609899716451764,-0.059602200984954834,Group_C,Unsafe,1768,0.002927604862589249
pair_14,45,53,0.0046352367,55.74930191040039,0.001226294320076704,-0.10850463062524796,Group_C,Unsafe,1835,0.003382954870503742
pair_15,49,59,0.0067475233,54.77236557006836,0.0009238406200893223,-0.04995681717991829,Group_C,Unsafe,1907,0.0016530611873605218
pair_16,10,22,0.011552542,56.67644500732422,0.0013099969364702702,-0.059735529124736786,Group_C,Unsafe,1948,0.030760459377538744
pair_17,22,31,0.019299634,55.43344497680664,0.00044592336053028703,-0.02788924239575863,Group_C,Unsafe,1963,0.03436620850198373
pair_18,4,22,0.027212525,57.00407409667969,0.0005001395475119352,-0.06512134522199631,Group_C,Unsafe,1991,0.036299313287748936
