Layer,k,Expert,Louvain_Community
middle,8,10,1
middle,8,11,15
middle,8,12,10
middle,8,13,11
middle,8,14,15
middle,8,15,12
middle,8,16,1
middle,8,17,5
middle,8,18,13
middle,8,19,18
middle,8,20,11
middle,8,21,15
middle,8,22,16
middle,8,23,17
middle,8,24,18
middle,8,25,18
middle,8,26,19
middle,8,27,18
middle,8,28,0
middle,8,29,18
middle,8,30,11
middle,8,31,18
middle,8,32,1
middle,8,33,20
middle,8,34,21
middle,8,35,11
middle,8,36,11
middle,8,37,22
middle,8,38,18
middle,8,39,18
middle,8,40,15
middle,8,41,18
middle,8,42,0
middle,8,43,15
middle,8,44,23
middle,8,45,24
middle,8,46,0
middle,8,47,18
middle,8,48,25
middle,8,49,0
middle,8,50,0
middle,8,51,11
middle,8,52,26
middle,8,53,1
middle,8,54,15
middle,8,55,27
middle,8,56,28
middle,8,57,1
middle,8,58,8
middle,8,59,9
middle,8,60,14
middle,8,61,1
middle,8,62,3
middle,8,63,7
last,3,0,0
last,3,1,11
last,3,2,2
last,3,3,3
last,3,4,33
last,3,5,8
last,3,6,6
last,3,7,7
last,3,8,8
last,3,9,9
last,3,10,10
last,3,11,8
last,3,12,11
last,3,13,12
last,3,14,13
last,3,15,14
last,3,16,15
last,3,17,16
last,3,18,8
last,3,19,8
last,3,20,18
last,3,21,19
last,3,22,8
last,3,23,20
last,3,24,8
last,3,25,21
last,3,26,22
last,3,27,23
last,3,28,24
last,3,29,33
last,3,30,33
last,3,31,26
last,3,32,21
last,3,33,33
last,3,34,11
last,3,35,27
last,3,36,28
last,3,37,33
last,3,38,29
last,3,39,21
last,3,40,30
last,3,41,31
last,3,42,11
last,3,43,32
last,3,44,33
last,3,45,34
last,3,46,35
last,3,47,36
last,3,48,37
last,3,49,38
last,3,50,33
last,3,51,11
last,3,52,39
last,3,53,40
last,3,54,41
last,3,55,42
last,3,56,43
last,3,57,44
last,3,58,1
last,3,59,4
last,3,60,5
last,3,61,17
last,3,62,25
last,3,63,21
last,5,0,0
last,5,1,8
last,5,2,2
last,5,3,3
last,5,4,20
last,5,5,8
last,5,6,6
last,5,7,7
last,5,8,28
last,5,9,21
last,5,10,10
last,5,11,8
last,5,12,8
last,5,13,11
last,5,14,12
last,5,15,13
last,5,16,14
last,5,17,15
last,5,18,8
last,5,19,28
last,5,20,16
last,5,21,17
last,5,22,20
last,5,23,19
last,5,24,20
last,5,25,21
last,5,26,22
last,5,27,23
last,5,28,24
last,5,29,20
last,5,30,20
last,5,31,25
last,5,32,21
last,5,33,20
last,5,34,21
last,5,35,8
last,5,36,27
last,5,37,28
last,5,38,29
last,5,39,21
last,5,40,30
last,5,41,31
last,5,42,20
last,5,43,32
last,5,44,28
last,5,45,33
last,5,46,34
last,5,47,35
last,5,48,36
last,5,49,37
last,5,50,20
last,5,51,21
last,5,52,38
last,5,53,39
last,5,54,40
last,5,55,41
last,5,56,42
last,5,57,1
last,5,58,4
last,5,59,5
last,5,60,9
last,5,61,18
last,5,62,26
last,5,63,21
last,8,0,0
last,8,1,1
last,8,2,2
last,8,3,3
last,8,4,33
last,8,5,33
last,8,6,6
last,8,7,7
last,8,8,33
last,8,9,19
last,8,10,10
last,8,11,33
last,8,12,1
last,8,13,13
last,8,14,14
last,8,15,15
last,8,16,16
last,8,17,17
last,8,18,30
last,8,19,33
last,8,20,19
last,8,21,21
last,8,22,19
last,8,23,23
last,8,24,33
last,8,25,30
last,8,26,26
last,8,27,27
last,8,28,28
last,8,29,1
last,8,30,30
last,8,31,31
last,8,32,30
last,8,33,33
last,8,34,1
last,8,35,33
last,8,36,36
last,8,37,30
last,8,38,38
last,8,39,30
last,8,40,40
last,8,41,41
last,8,42,33
last,8,43,32
last,8,44,30
last,8,45,34
last,8,46,35
last,8,47,4
last,8,48,5
last,8,49,37
last,8,50,30
last,8,51,30
last,8,52,39
last,8,53,8
last,8,54,9
last,8,55,11
last,8,56,12
last,8,57,18
last,8,58,20
last,8,59,22
last,8,60,24
last,8,61,25
last,8,62,29
last,8,63,30
aggregated,3,0,0
aggregated,3,1,4
aggregated,3,2,2
aggregated,3,3,3
aggregated,3,4,4
aggregated,3,5,5
aggregated,3,6,6
aggregated,3,7,7
aggregated,3,8,31
aggregated,3,9,9
aggregated,3,10,10
aggregated,3,11,9
aggregated,3,12,12
aggregated,3,13,13
aggregated,3,14,14
aggregated,3,15,15
aggregated,3,16,16
aggregated,3,17,17
aggregated,3,18,18
aggregated,3,19,19
aggregated,3,20,20
aggregated,3,21,21
aggregated,3,22,22
aggregated,3,23,23
aggregated,3,24,24
aggregated,3,25,31
aggregated,3,26,25
aggregated,3,27,26
aggregated,3,28,27
aggregated,3,29,26
aggregated,3,30,28
aggregated,3,31,29
aggregated,3,32,9
aggregated,3,33,30
aggregated,3,34,4
aggregated,3,35,31
aggregated,3,36,32
aggregated,3,37,33
aggregated,3,38,31
aggregated,3,39,31
aggregated,3,40,34
aggregated,3,41,35
aggregated,3,42,4
aggregated,3,43,9
aggregated,3,44,36
aggregated,3,45,37
aggregated,3,46,38
aggregated,3,47,39
aggregated,3,48,40
aggregated,3,49,41
aggregated,3,50,4
aggregated,3,51,42
aggregated,3,52,43
