layer_idx,expert_idx,quantile,alpha,target_angle_deg,is_theta_max,seed,config_name,trainable_params,frozen_params,tau_target,tau_actual,err_tau,cos_tau,mag_tau_actual,C_before,mag_C_before,C_after,mag_C_after,DeltaC,mag_DeltaC,mag_DeltaC_par,mag_DeltaC_perp,delta_theta
8,55,0.5,0.01,30.0,False,42,default,6291456,6912870400,"[0.00221479 0.00221706 0.00213924 0.00221154 0.0025258  0.00245363
 0.00732376 0.00222922 0.00221314 0.00219257]","[0.0008    0.0009625 0.000675  0.0007625 0.0009875 0.0006875 0.0026875
 0.000775  0.000825  0.0008375]",0.006377898674271854,0.9967020234265721,0.0036409562,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620528 0.25979435 0.32886165 0.1903362  0.29458797 0.0631447
 0.3916561  0.21708404 0.28996101 0.19261007]",0.83378744,"[ 1.78813934e-07 -1.49011612e-07 -2.38418579e-07 -1.04308128e-07
 -2.98023224e-08 -2.98023224e-08 -2.98023224e-08 -2.98023224e-08
  2.38418579e-07  2.08616257e-07]",4.7520456e-07,1.0627609e-08,4.750857e-07,0.019782341029446364
8,55,0.5,0.01,45.0,False,42,default,6291456,6912870400,"[0.00152276 0.00152432 0.00147081 0.00152052 0.00173659 0.00168697
 0.00883651 0.00153268 0.00152163 0.00150748]","[0.0006625 0.0008125 0.0007375 0.000525  0.00075   0.0007625 0.003675
 0.0006625 0.0007125 0.0007   ]",0.005771360728414409,0.9980230233780875,0.0042431927,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620528 0.25979435 0.32886165 0.1903362  0.29458797 0.06314474
 0.3916561  0.21708402 0.28996101 0.19261007]",0.83378744,"[ 1.78813934e-07 -1.49011612e-07 -2.38418579e-07 -1.04308128e-07
 -2.98023224e-08  7.45058060e-09 -2.98023224e-08 -4.47034836e-08
  2.38418579e-07  2.08616257e-07]",4.754965e-07,1.1686018e-08,4.7535286e-07,0.019782341029446364
8,55,0.5,0.01,60.0,False,42,default,6291456,6912870400,"[0.00072695 0.0007277  0.00070215 0.00072589 0.00082903 0.00080535
 0.00974706 0.00073169 0.00072641 0.00071966]","[0.0004375 0.000475  0.0005625 0.0005    0.0003875 0.0004375 0.0057875
 0.0005375 0.00045   0.000425 ]",0.004053085635715511,0.9992785622608087,0.005957532,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620552 0.25979432 0.32886165 0.1903362  0.29458794 0.06314473
 0.3916561  0.21708411 0.28996077 0.19261003]",0.83378744,"[ 4.17232513e-07 -1.78813934e-07 -2.38418579e-07 -1.04308128e-07
 -5.96046448e-08  0.00000000e+00 -2.98023224e-08  4.47034836e-08
  0.00000000e+00  1.63912773e-07]",5.5415495e-07,2.5907438e-08,5.53549e-07,0.0
8,55,0.5,0.01,72.91407930810487,True,42,default,6291456,6912870400,"[1.38777878e-19 1.38777878e-19 1.38777878e-19 1.38777878e-19
 2.77555756e-19 2.77555756e-19 1.00000000e-02 2.77555756e-19
 1.38777878e-19 1.38777878e-19]",[0.   0.   0.   0.   0.   0.   0.01 0.   0.   0.  ],2.2351741811588166e-10,0.99999999,0.01,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620534 0.25979453 0.32886189 0.19033629 0.29458794 0.06314473
 0.39165613 0.21708405 0.28996119 0.19261009]",0.83378774,"[ 2.38418579e-07  2.98023224e-08  0.00000000e+00 -1.49011612e-08
 -5.96046448e-08  0.00000000e+00  0.00000000e+00 -1.49011612e-08
  4.17232513e-07  2.23517418e-07]",5.345759e-07,2.53798e-07,4.7048695e-07,0.019782341029446364
8,55,0.5,0.1,0.0,False,42,default,6291456,6912870400,"[0.03109179 0.03112356 0.03003111 0.03104616 0.03545778 0.03444464
 0.02938054 0.03129428 0.03106863 0.03077982]","[0.010625 0.0115   0.008375 0.01025  0.00875  0.011625 0.00975  0.00875
 0.01025  0.010125]",0.0685063664099774,0.9934113732388468,0.03180016,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620883 0.25979793 0.32886723 0.19033755 0.29460123 0.06314121
 0.39166349 0.21709308 0.28996223 0.19260892]",0.8338026,"[ 3.72529030e-06  3.42726707e-06  5.33461571e-06  1.25169754e-06
  1.32322311e-05 -3.51667404e-06  7.36117363e-06  9.01520252e-06
  1.46031380e-06 -9.38773155e-07]",1.9534133e-05,1.51518125e-05,1.2329027e-05,0.0
8,55,0.5,0.1,15.0,False,42,default,6291456,6912870400,"[0.0275589  0.02758707 0.02661875 0.02751846 0.03142879 0.03053078
 0.05311904 0.02773838 0.02753837 0.02728238]","[0.009375 0.01075  0.007375 0.008875 0.00925  0.010375 0.017    0.009125
 0.009125 0.00875 ]",0.06755545628418659,0.9970519086815058,0.032586902,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620924 0.25979668 0.3288663  0.19033642 0.29460269 0.06314217
 0.39166424 0.21709128 0.28996134 0.19260994]",0.83380216,"[ 4.14252281e-06  2.17556953e-06  4.41074371e-06  1.19209290e-07
  1.46925449e-05 -2.55554914e-06  8.10623169e-06  7.21216202e-06
  5.66244125e-07  7.45058060e-08]",1.9540128e-05,1.4664522e-05,1.2913884e-05,0.0
8,55,0.5,0.1,30.0,False,42,default,6291456,6912870400,"[0.02214792 0.02217055 0.02139236 0.02211542 0.02525798 0.02453629
 0.07323756 0.02229216 0.02213142 0.02192569]","[0.008    0.009625 0.00675  0.007625 0.009875 0.006875 0.026875 0.00775
 0.00825  0.008375]",0.06377898461622505,0.9967020584783859,0.036409564,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620954 0.25979659 0.32886699 0.19033191 0.2945919  0.06314137
 0.39166012 0.21709177 0.28996193 0.19260883]",0.8337957,"[ 4.44054604e-06  2.08616257e-06  5.09619713e-06 -4.39584255e-06
  3.90410423e-06 -3.36021185e-06  3.99351120e-06  7.70390034e-06
  1.16229057e-06 -1.02818012e-06]",1.3175907e-05,8.247554e-06,1.0275328e-05,0.0
8,55,0.5,0.1,45.0,False,42,default,6291456,6912870400,"[0.01522759 0.01524316 0.01470811 0.01520525 0.01736589 0.01686969
 0.08836506 0.01532676 0.01521625 0.0150748 ]","[0.006625 0.008125 0.007375 0.00525  0.0075   0.007625 0.03675  0.006625
 0.007125 0.007   ]",0.05771360726398989,0.9980229381041595,0.042431932,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26621044 0.25979626 0.32886812 0.19033629 0.29459181 0.06314272
 0.39166242 0.21709159 0.28996268 0.19261022]",0.83379906,"[ 5.33461571e-06  1.75833702e-06  6.22868538e-06 -1.49011612e-08
  3.81469727e-06 -2.01165676e-06  6.28829002e-06  7.52508640e-06
  1.90734863e-06  3.57627869e-07]",1.3743387e-05,1.1558761e-05,7.434765e-06,0.019782341029446364
8,55,0.5,0.1,60.0,False,42,default,6291456,6912870400,"[0.00726953 0.00727696 0.00702154 0.00725886 0.00829034 0.00805346
 0.09747063 0.00731687 0.00726412 0.00719659]","[0.004375 0.00475  0.005625 0.005    0.003875 0.004375 0.057875 0.005375
 0.0045   0.00425 ]",0.040530854444342596,0.999278532663939,0.059575327,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620686 0.2597954  0.32886195 0.19033858 0.29459056 0.06314179
 0.3916598  0.21708988 0.28996164 0.19261096]",0.83379334,"[ 1.75833702e-06  8.94069672e-07  5.96046448e-08  2.27987766e-06
  2.56299973e-06 -2.93552876e-06  3.66568565e-06  5.81145287e-06
  8.64267349e-07  1.10268593e-06]",8.570409e-06,5.857389e-06,6.2564295e-06,0.019782341029446364
8,55,0.5,0.1,72.91407930810487,True,42,default,6291456,6912870400,"[1.38777878e-18 1.38777878e-18 1.38777878e-18 1.38777878e-18
 2.77555756e-18 2.77555756e-18 1.00000000e-01 2.77555756e-18
 1.38777878e-18 1.38777878e-18]",[0.  0.  0.  0.  0.  0.  0.1 0.  0.  0. ],1.4901161138336505e-09,0.9999999999,0.1,"[0.2662051  0.2597945  0.32886189 0.1903363  0.294588   0.06314473
 0.39165613 0.21708407 0.28996077 0.19260986]",0.8337875,"[0.26620653 0.25979137 0.32885808 0.19033699 0.29458931 0.063142
 0.39166042 0.21708818 0.28995925 0.19260947]",0.83378834,"[ 1.43051147e-06 -3.12924385e-06 -3.81469727e-06  6.85453415e-07
  1.31130219e-06 -2.72691250e-06  4.29153442e-06  4.11272049e-06
 -1.51991844e-06 -3.87430191e-07]",8.59115e-06,8.589518e-07,8.548102e-06,0.019782341029446364
