checkpoint,layer,n_pairs,coverage,min,max,mean,median,std,cv,p5,p95
checkpoint_10,first,384,0.19047619047619047,0.0010091210793933948,0.00497850120795584,0.0020382276007016187,0.0017119241059570375,0.0008172686166580708,0.4009702431547598,0.0012198639503304303,0.0039262777629612364
checkpoint_10,middle,384,0.19047619047619047,0.0004006313239602447,0.03882750005042732,0.003584439509054918,0.0017289097274825397,0.007748361098410152,2.1616660230522635,0.0006966586292713776,0.02893934189290807
checkpoint_10,last,384,0.19047619047619047,0.00019230969201880014,0.014165296330961663,0.003574977763619471,0.002917651803824468,0.002724603361704246,0.7621315548955283,0.0005835134922029234,0.009624995938251923
checkpoint_40,first,384,0.19047619047619047,0.0012902868743077567,0.008070265693100015,0.0033075087241900805,0.0029957208721326017,0.0012127610135084798,0.36666902936301465,0.0018566958427567357,0.005703634668227619
checkpoint_40,middle,384,0.19047619047619047,0.0004351500748393741,0.024380519894489982,0.002707140602641238,0.0016979458587827174,0.004032358792843725,1.4895269159309754,0.0007065773683982803,0.01319713552795497
checkpoint_40,last,384,0.19047619047619047,0.00025387240120100074,0.01621585275741719,0.003971978085381656,0.003401915284793293,0.0026435810850555627,0.6655578223819804,0.000790369641260074,0.009743184439510453
checkpoint_70,first,384,0.19047619047619047,0.0013839305584654618,0.010956334294062986,0.0037824714590930443,0.003430629416096654,0.0016999856361272084,0.44943779603160006,0.0020650875934077433,0.0088161090834421
checkpoint_70,middle,384,0.19047619047619047,0.0005243715973868348,0.014361295745134077,0.002352791216582836,0.001735000774477551,0.002266073113981854,0.9631424573545754,0.0007299369154983694,0.005835549007867742
checkpoint_70,last,384,0.19047619047619047,0.0002169332951092255,0.014998508031603975,0.004367320808083548,0.003867755886962694,0.002726344642404857,0.6242602186124316,0.0008963111843896565,0.009572120676337045
checkpoint_100,first,2016,1.0,0.0014071153141236024,0.02164928899513184,0.004788705715037256,0.004126550078596609,0.0025682901071710736,0.5363223927305152,0.00238963426171729,0.010578232806807291
checkpoint_100,middle,2016,1.0,0.0005123792651247306,0.03948316619157515,0.003316089488314103,0.002164043948084868,0.005432041281327645,1.6380864570965754,0.0008586869644660534,0.00533780228782316
checkpoint_100,last,2016,1.0,0.00025957927115781643,0.01923262256107048,0.0050911374058889205,0.004751310622844481,0.0029238428440161897,0.5743005169403166,0.0010893728031350788,0.010434521135187537
