source,target,weight
1,8,0.5209565758705139
1,20,0.5327274203300476
1,21,0.5674448013305664
1,23,0.5618806481361389
1,63,0.532476007938385
7,23,0.559009850025177
7,31,0.5158622860908508
7,35,0.5475606322288513
8,21,0.5354347825050354
8,23,0.5300129652023315
8,62,0.5057951807975769
9,43,0.5497925281524658
20,43,0.5293091535568237
21,43,0.5435181856155396
21,47,0.5575905442237854
21,63,0.5421916842460632
23,36,0.5550950765609741
23,43,0.5548461675643921
25,63,0.5324538350105286
35,63,0.5306946039199829
36,58,0.5567471981048584
43,63,0.5371052622795105
