Feature,Type,Mean,Std,Min,Max,Median,Skewness,Kurtosis,Spearman_rho,Spearman_p,Pearson_r,Pearson_p
Weight_Distance,Original,0.10572385334383086,0.5272269638622087,-0.9450912482758081,1.5140129255474253,-0.006510911207492512,0.42931352822537977,-1.0446200627422941,-0.010394067084386147,0.570848847543102,-0.0014446546776278346,0.9372101700293134
Weight_Cosine,Original,0.35704365237089614,1.3410427742266517,-2.0382912283102943,20.823396875810143,0.013071931465166997,4.1030145717407285,33.99606412852986,0.09641682282153598,1.365188683777033e-07,0.02987575784396384,0.10321079609552612
Activation_Similarity,Original,0.01906080023995958,1.660045933064804,-24.294670854950052,25.745232061766572,-0.008043155990633148,0.6592888772184825,58.96002033049828,-0.005289962268782815,0.7729926177189596,-0.011992019595816372,0.513146565816708
Output_Similarity,Original,0.35161742112007777,0.5579797996278295,-0.09809909392974386,1.62180905359157,-0.0026217502163155336,0.9235317342757166,-0.8821904236306137,0.34287874567296583,7.221140667732487e-83,0.0537510737484556,0.003355350133777225
Routing_Similarity,Original,0.1767690741421734,1.1379179574785627,-3.1030047788950936,6.200116071487105,0.0018405759742697696,1.3931647331809667,3.67185304154562,-0.10489889095517062,9.69689153556763e-09,-0.05651426642361979,0.002041160386400902
Usage_Frequency,Original,0.12367186059699488,0.8112844620102714,-1.630326267814512,4.56977501266006,0.008247124357954333,1.2532287475643078,3.6756693109487735,0.5572688709798534,1.8784046933253025e-242,0.4005922529319741,3.9850588873489836e-115
Jaccard_Overlap,Original,0.47072381581971834,1.3879508064912538,-0.46039858106335896,15.498554708562661,0.035994689795187114,3.9096893443754768,21.63037529692257,0.20413141456788567,2.3184905261573459e-29,0.1019939197958808,2.457506145874342e-08
Usage_Asymmetry,New,0.1615692260853551,0.876107952201833,-0.7468567468567464,6.2112662112662065,-0.05148005148005162,2.5511958672453936,10.647574759222756,0.20110605086409059,1.5748007166103674e-28,0.2772521459437979,1.167819989867603e-53
Routing_JSD_Proxy,New,-0.1911990510514817,1.063357562947102,-4.8654239112869675,2.5963526038480014,-0.008926667792833092,-1.289048142100393,2.651737526117225,0.03507316324950126,0.05573250539522925,0.01209816685054392,0.5094239874632392
Routing_NPMI_Proxy,New,0.058601879070820505,0.8199961008290271,-2.4473059688495855,3.9760299772195613,0.03084689075414145,0.4978785448619262,1.5788226689215357,0.056949177907100725,0.0018838982851251346,0.04080013092639406,0.026030925815059343
Specialization_Diff,New,0.10906988815093438,0.6809921784192192,-0.7621719832999138,2.865159942731643,-0.05423988056447261,0.9342320560370503,0.3353816259826172,0.005833994274053073,0.75038685981845,0.057856381933422546,0.0015910506478322667
