Layer,Expert_A,Expert_B,Oracle_KL,Pred_XGBoost_B,Residual_XGBoost_B,AbsResidual_XGBoost_B,Weight_Distance,Weight_Cosine,Activation_Similarity,Output_Similarity,Routing_Similarity,Usage_Frequency,Jaccard_Overlap
first,32,33,0.0045205900642424565,0.003300010459497571,0.0012205796047448855,0.0012205796047448855,-0.36588780536120635,0.14554771203454597,0.8288367304548407,-0.03821789038484603,-0.3428432538879258,-0.2482818490920929,-0.3030410606003443
first,32,34,0.003745386540030551,0.003337046829983592,0.0004083397100469589,0.0004083397100469589,-0.3818765104399137,0.20170677319926722,0.21204675869751705,-0.03769682951828342,0.37311710160445455,-0.47312450264052663,0.16432989528614625
first,32,35,0.004203749536352293,0.0029039597138762474,0.0012997898224760456,0.0012997898224760456,-0.3696984803421341,0.7075294950648482,0.29406777886546115,-0.020769338796319654,0.008700518409382355,-0.6363307530926716,0.027944405480407383
first,32,36,0.0042085655069494824,0.005295459646731615,-0.0010868941397821326,0.0010868941397821326,-0.4457224543267165,-0.9454070777831981,-0.41157131270353625,-0.062282031984543615,0.4792320609969771,-0.7228532156550677,0.04312157220154818
first,32,37,0.004754622128283968,0.003941438160836697,0.000813183967447271,0.000813183967447271,-0.44278581511522375,0.653109106487944,0.5271746349248086,-0.02319493730361549,0.23716582149157672,-0.4786225855458294,0.13506950445089974
first,32,38,0.004890427890196827,0.005090145859867334,-0.00019971796967050738,0.00019971796967050738,-0.6483777790267203,0.038769551775537814,-0.28707632568725694,-0.05587374521775535,0.26802771531065966,-0.12471967011502558,0.3019491981361031
first,32,39,0.003241632013179349,0.00463812006637454,-0.0013964880531951913,0.0013964880531951913,-0.3902846942172755,-0.12432974750463302,0.5328033334776977,-0.0405504785893953,-0.183943786805549,-0.32062504521449753,-0.10258525212522217
first,32,40,0.004427284960043513,0.00413678539916873,0.00029049956087478287,0.00029049956087478287,-0.37013096170901716,0.9637113052660936,-0.5862851244700567,0.0012839869580574602,0.5621381944191793,-0.3290168559646965,0.9149260207193837
first,32,41,0.009964559376303896,0.005238257348537445,0.0047263020277664505,0.0047263020277664505,0.022244563172397,3.9064743823131414,-0.0923353705941545,0.015028133031181789,-0.023053601360794256,1.5701367286406716,0.5829471392356351
first,32,42,0.004919493620679834,0.003965143579989672,0.0009543500406901627,0.0009543500406901627,-0.4177361717485327,0.8741229815239964,0.6573145647338992,0.004117236544290654,0.25988708505059177,-0.3614266078275337,0.03383928537448868
first,32,43,0.0031961534613111856,0.003283232217654586,-8.707875634340022e-05,8.707875634340022e-05,-0.3743968006460001,-0.6416610982499493,-0.20443642774620654,-0.028275969429692543,0.3132286270055779,-0.367214063517326,0.3229623669893807
first,32,44,0.004813809197254979,0.003970947116613388,0.0008428620806415913,0.0008428620806415913,-0.4678289057339317,0.2993809497933274,-0.7994213883307992,-0.02810014856663875,-0.5955140432592793,-0.20458655863416034,-0.3454582885904393
first,32,45,0.005300253394240972,0.004614298231899738,0.0006859551623412336,0.0006859551623412336,-0.4239123887513512,1.2691058720481472,0.3818953858974087,0.036746308702228975,0.7098673614163433,-0.34695796860305284,0.8794867460652782
first,32,46,0.005081156057509211,0.004984076134860516,9.707992264869521e-05,9.707992264869521e-05,-0.5294252408323905,-0.20537029650390928,1.107977957538303,-0.03523095369696735,-0.013413127768264182,0.30760326991246506,0.32509692195365136
first,32,47,0.0051585727046514745,0.003793529001995921,0.0013650437026555533,0.0013650437026555533,-0.3966459003362316,0.5478454580944311,-0.11187008436565753,-0.022092276049416906,-0.5410286261570582,-0.4797800766837879,-0.2805525704745615
first,32,48,0.004091340245586049,0.004519812297075987,-0.00042847205148993824,0.00042847205148993824,-0.3830847363564856,0.2657738948542985,-0.5408076393119943,-0.017591942853254626,0.5474965035678946,-0.4971424437531649,1.1214064418964105
